symbol,code,date,shareholding,shareholding_percent,close
600158.SH,600158,2021-03-01,"193,381",0.02,11.760
600160.SH,600160,2021-03-01,"81,811,793",3.03,8.860
600161.SH,600161,2021-03-01,"20,558,025",1.63,34.800
600162.SH,600162,2021-03-01,"13,719,507",0.40,1.850
600166.SH,600166,2021-03-01,"2,978,401",0.04,3.760
600167.SH,600167,2021-03-01,"17,334,853",0.75,10.010
600168.SH,600168,2021-03-01,"94,720",0.01,6.610
600169.SH,600169,2021-03-01,"2,616,502",0.10,2.400
600170.SH,600170,2021-03-01,"180,328,739",2.02,2.960
600171.SH,600171,2021-03-01,"6,586,344",0.94,15.200
600172.SH,600172,2021-03-01,"1,187,929",0.09,2.870
600173.SH,600173,2021-03-01,"689,582",0.09,4.490
600176.SH,600176,2021-03-01,"272,623,665",7.78,23.750
600177.SH,600177,2021-03-01,"82,310,168",1.77,8.140
600179.SH,600179,2021-03-01,"327,041",0.00,3.900
600180.SH,600180,2021-03-01,"34,512,146",3.39,5.270
600183.SH,600183,2021-03-01,"112,356,485",4.90,26.330
600185.SH,600185,2021-03-01,"92,882,541",4.50,6.650
600188.SH,600188,2021-03-01,"72,613,642",2.45,10.450
600190.SH,600190,2021-03-01,"268,304",0.01,2.890
600195.SH,600195,2021-03-01,"210,694",0.02,13.980
600196.SH,600196,2021-03-01,"34,145,380",1.69,46.220
600197.SH,600197,2021-03-01,"763,306",0.16,20.230
600200.SH,600200,2021-03-01,"2,962,457",0.41,5.000
600201.SH,600201,2021-03-01,"212,066,725",18.93,21.410
600206.SH,600206,2021-03-01,"8,075,138",0.95,12.850
600208.SH,600208,2021-03-01,"118,299,694",1.37,3.140
600210.SH,600210,2021-03-01,"44,763,962",2.95,5.010
600211.SH,600211,2021-03-01,"1,400,172",0.56,52.680
600216.SH,600216,2021-03-01,"16,301,829",1.68,15.030
600219.SH,600219,2021-03-01,"371,749,987",3.11,4.160
600221.SH,600221,2021-03-01,"37,204,257",0.22,1.440
600223.SH,600223,2021-03-01,"3,837,374",0.38,12.930
600226.SH,600226,2021-03-01,"527,052",0.02,2.030
600230.SH,600230,2021-03-01,"8,012",0.00,16.680
600231.SH,600231,2021-03-01,"619,386",0.02,2.450
600233.SH,600233,2021-03-01,"52,714,366",1.66,11.700
