symbol,code,date,shareholding,shareholding_percent,close
688002.SH,688002,2021-07-01,"11,053,070",4.83,99.320
688006.SH,688006,2021-07-01,"5,251,752",4.75,82.000
688008.SH,688008,2021-07-01,"19,283,361",4.57,60.500
688009.SH,688009,2021-07-01,"47,266,099",2.35,5.690
688012.SH,688012,2021-07-01,"5,088,176",2.05,158.990
688019.SH,688019,2021-07-01,"598,235",1.98,294.670
688026.SH,688026,2021-07-01,"186,246",0.38,85.000
688036.SH,688036,2021-07-01,"2,631,209",0.67,205.600
688088.SH,688088,2021-07-01,"1,005,495",0.38,54.040
688111.SH,688111,2021-07-01,"1,436,105",0.66,414.980
688122.SH,688122,2021-07-01,"5,892,242",1.89,63.000
688126.SH,688126,2021-07-01,"2,923,006",0.26,27.900
688139.SH,688139,2021-07-01,"14,564,848",7.93,114.130
688166.SH,688166,2021-07-01,"481,951",0.26,41.420
688169.SH,688169,2021-07-01,"238,919",0.52,1242.680
688180.SH,688180,2021-07-01,"1,481,303",1.93,82.010
688185.SH,688185,2021-07-01,"1,011,230",4.12,742.000
688188.SH,688188,2021-07-01,"224,208",0.86,439.000
688202.SH,688202,2021-07-01,"177,992",0.67,532.550
688208.SH,688208,2021-07-01,"811,926",0.29,88.360
688298.SH,688298,2021-07-01,"513,344",0.84,217.800
688366.SH,688366,2021-07-01,"627,348",1.11,239.190
688505.SH,688505,2021-07-01,"372,347",0.13,17.380
600000.SH,600000,2021-07-01,"552,957,894",1.88,10.030
600004.SH,600004,2021-07-01,"135,297,769",6.53,11.100
600006.SH,600006,2021-07-01,"22,392",0.00,7.160
600007.SH,600007,2021-07-01,"11,780,647",1.16,18.200
600008.SH,600008,2021-07-01,"123,837,862",1.68,3.000
600009.SH,600009,2021-07-01,"196,784,995",17.99,47.620
600010.SH,600010,2021-07-01,"739,442,108",2.33,1.530
600011.SH,600011,2021-07-01,"119,053,995",1.08,4.210
600012.SH,600012,2021-07-01,"28,049,872",2.40,6.380
600015.SH,600015,2021-07-01,"312,452,191",2.43,6.190
600016.SH,600016,2021-07-01,"532,023,500",1.50,4.410
600017.SH,600017,2021-07-01,"1,692,404",0.05,2.650
600018.SH,600018,2021-07-01,"253,302,739",1.09,4.630
600019.SH,600019,2021-07-01,"1,565,227,074",7.04,7.730
600020.SH,600020,2021-07-01,"25,270,920",1.12,3.230
600021.SH,600021,2021-07-01,"13,310,100",0.50,6.810
600023.SH,600023,2021-07-01,"3,937,773",0.02,3.650
600025.SH,600025,2021-07-01,"41,940,967",0.23,5.800
600026.SH,600026,2021-07-01,"38,612,104",1.34,6.090
600027.SH,600027,2021-07-01,"91,711,612",1.12,3.450
600028.SH,600028,2021-07-01,"1,122,299,922",1.17,4.330
600029.SH,600029,2021-07-01,"616,420,624",6.33,6.010
600030.SH,600030,2021-07-01,"346,826,847",3.53,24.670
600031.SH,600031,2021-07-01,"665,102,970",7.84,28.390
600033.SH,600033,2021-07-01,"237,863",0.00,2.600
600036.SH,600036,2021-07-01,"1,363,825,818",6.61,56.000
600037.SH,600037,2021-07-01,"452,675",0.03,9.510
600038.SH,600038,2021-07-01,"12,409,295",2.10,50.960
600039.SH,600039,2021-07-01,"72,875,862",2.01,6.370
600048.SH,600048,2021-07-01,"585,131,269",4.88,12.540
600050.SH,600050,2021-07-01,"164,838,346",0.53,4.320
600053.SH,600053,2021-07-01,"1,691,974",0.39,16.780
600054.SH,600054,2021-07-01,"1,136,627",0.22,9.750
600056.SH,600056,2021-07-01,"11,175,092",1.04,12.350
600057.SH,600057,2021-07-01,"45,549,621",2.13,6.210
600058.SH,600058,2021-07-01,"118,659",0.01,7.570
600059.SH,600059,2021-07-01,"216,908",0.02,12.680
600060.SH,600060,2021-07-01,"808,977",0.06,17.000
600061.SH,600061,2021-07-01,"72,781,785",1.13,8.250
600062.SH,600062,2021-07-01,"37,892,187",3.63,12.010
600063.SH,600063,2021-07-01,"1,550,621",0.08,4.760
600064.SH,600064,2021-07-01,"1,159,414",0.09,9.310
600066.SH,600066,2021-07-01,"182,217,055",8.23,12.550
600067.SH,600067,2021-07-01,"973,373",0.06,3.340
600068.SH,600068,2021-07-01,"53,483,419",1.16,7.600
600070.SH,600070,2021-07-01,"880,470",0.17,8.500
600072.SH,600072,2021-07-01,"4,240,909",0.57,11.240
600073.SH,600073,2021-07-01,"6,897,738",0.73,8.030
600075.SH,600075,2021-07-01,"718,491",0.06,6.690
600077.SH,600077,2021-07-01,249,0.00,2.580
