symbol,code,date,shareholding,shareholding_percent,close
688002.SH,688002,2021-02-24,"2,151,350",0.93,97.600
688006.SH,688006,2021-02-24,"639,420",0.58,66.740
688008.SH,688008,2021-02-24,"5,718,002",1.35,84.390
688009.SH,688009,2021-02-24,"9,261,249",0.46,5.850
688012.SH,688012,2021-02-24,"345,900",0.14,137.500
688019.SH,688019,2021-02-24,"82,287",0.27,298.970
688122.SH,688122,2021-02-24,"1,868,425",0.59,62.050
688139.SH,688139,2021-02-24,"1,045,722",0.56,79.850
688180.SH,688180,2021-02-24,"1,825,337",2.46,96.480
688185.SH,688185,2021-02-24,"203,372",0.83,469.600
688366.SH,688366,2021-02-24,"68,997",0.17,134.650
688505.SH,688505,2021-02-24,"264,733",0.26,15.880
600000.SH,600000,2021-02-24,"499,874,948",1.70,10.600
600004.SH,600004,2021-02-24,"180,265,122",8.71,13.470
600006.SH,600006,2021-02-24,"25,682",0.00,7.090
600007.SH,600007,2021-02-24,"11,464,156",1.13,12.140
600008.SH,600008,2021-02-24,"108,076,721",1.47,2.890
600009.SH,600009,2021-02-24,"188,915,269",17.27,60.950
600010.SH,600010,2021-02-24,"632,373,479",1.99,1.410
600011.SH,600011,2021-02-24,"147,923,808",1.34,4.130
600012.SH,600012,2021-02-24,"15,903,208",1.36,6.190
600015.SH,600015,2021-02-24,"264,588,922",2.06,6.250
600016.SH,600016,2021-02-24,"676,788,692",1.90,5.190
600017.SH,600017,2021-02-24,"1,697,004",0.05,2.770
600018.SH,600018,2021-02-24,"178,506,627",0.77,4.780
600019.SH,600019,2021-02-24,"1,563,447,434",7.03,7.540
600020.SH,600020,2021-02-24,"21,706,735",0.96,3.250
600021.SH,600021,2021-02-24,"21,547,903",0.91,6.860
600023.SH,600023,2021-02-24,"3,939,092",0.02,3.540
600025.SH,600025,2021-02-24,"52,669,026",0.29,4.530
600026.SH,600026,2021-02-24,"37,345,355",1.36,6.480
600027.SH,600027,2021-02-24,"87,154,661",1.06,3.200
600028.SH,600028,2021-02-24,"1,167,028,843",1.22,4.560
600029.SH,600029,2021-02-24,"658,227,826",8.11,6.320
600030.SH,600030,2021-02-24,"322,141,150",3.28,27.420
600031.SH,600031,2021-02-24,"800,048,145",9.43,42.850
600033.SH,600033,2021-02-24,"819,091",0.02,2.610
600036.SH,600036,2021-02-24,"1,179,840,270",5.71,53.600
600037.SH,600037,2021-02-24,"453,975",0.03,8.500
600038.SH,600038,2021-02-24,"12,605,949",2.13,54.310
600039.SH,600039,2021-02-24,"48,523,180",1.34,5.270
600048.SH,600048,2021-02-24,"517,475,733",4.32,14.820
600050.SH,600050,2021-02-24,"77,306,625",0.25,4.360
600053.SH,600053,2021-02-24,"6,964,256",1.60,17.610
600054.SH,600054,2021-02-24,"1,142,780",0.22,10.570
600056.SH,600056,2021-02-24,"13,264,498",1.24,13.760
600057.SH,600057,2021-02-24,"37,744,702",1.76,6.090
