symbol,code,date,shareholding,shareholding_percent
600183.SH,600183,2021-02-04,"123,399,138",5.38
600185.SH,600185,2021-02-04,"86,395,761",4.19
600188.SH,600188,2021-02-04,"67,506,269",2.28
600190.SH,600190,2021-02-04,"268,304",0.01
600195.SH,600195,2021-02-04,"213,566",0.02
600196.SH,600196,2021-02-04,"35,209,149",1.75
600197.SH,600197,2021-02-04,"523,614",0.11
600200.SH,600200,2021-02-04,"2,962,457",0.41
600201.SH,600201,2021-02-04,"203,882,101",18.20
600206.SH,600206,2021-02-04,"8,648,216",1.02
600208.SH,600208,2021-02-04,"100,926,094",1.17
600210.SH,600210,2021-02-04,"41,891,325",2.76
600211.SH,600211,2021-02-04,"339,214",0.13
600216.SH,600216,2021-02-04,"8,149,349",0.84
600219.SH,600219,2021-02-04,"306,332,546",2.56
600221.SH,600221,2021-02-04,"40,641,782",0.24
600223.SH,600223,2021-02-04,"2,550,739",0.25
600226.SH,600226,2021-02-04,"528,052",0.02
600230.SH,600230,2021-02-04,"12,012",0.00
600231.SH,600231,2021-02-04,"619,386",0.02
600233.SH,600233,2021-02-04,"53,174,469",1.68
600236.SH,600236,2021-02-04,"25,263,394",0.32
600238.SH,600238,2021-02-04,400,0.00
600239.SH,600239,2021-02-04,"1,086,781",0.06
600248.SH,600248,2021-02-04,"2,651",0.00
600251.SH,600251,2021-02-04,"55,423",0.00
600252.SH,600252,2021-02-04,"19,675,069",0.56
600255.SH,600255,2021-02-04,"574,897",0.03
600256.SH,600256,2021-02-04,"104,702,314",1.55
600257.SH,600257,2021-02-04,"286,937",0.05
600258.SH,600258,2021-02-04,"76,262,204",7.79
600259.SH,600259,2021-02-04,"306,600",0.10
600260.SH,600260,2021-02-04,"20,879,605",2.14
600261.SH,600261,2021-02-04,"23,573,097",1.62
600266.SH,600266,2021-02-04,"1,747,185",0.07
600267.SH,600267,2021-02-04,"720,925",0.07
600268.SH,600268,2021-02-04,"20,400",0.00
600269.SH,600269,2021-02-04,"1,575,494",0.06
