symbol,code,date,shareholding,shareholding_percent,close
688002.SH,688002,2021-03-04,"2,443,907",1.06,97.620
688006.SH,688006,2021-03-04,"387,241",0.35,66.960
688008.SH,688008,2021-03-04,"8,019,116",1.90,74.610
688009.SH,688009,2021-03-04,"7,974,380",0.39,5.820
688012.SH,688012,2021-03-04,"1,110,438",0.45,121.310
688019.SH,688019,2021-03-04,"134,685",0.44,276.500
688122.SH,688122,2021-03-04,"2,959,365",0.94,56.800
688139.SH,688139,2021-03-04,"1,367,152",0.74,74.110
688180.SH,688180,2021-03-04,"2,387,595",3.22,98.770
688185.SH,688185,2021-03-04,"157,809",0.64,450.870
688366.SH,688366,2021-03-04,"113,663",0.28,107.800
688505.SH,688505,2021-03-04,"149,480",0.15,15.610
600000.SH,600000,2021-03-04,"506,355,802",1.72,10.880
600004.SH,600004,2021-03-04,"185,949,325",8.98,13.340
600006.SH,600006,2021-03-04,"25,682",0.00,6.830
600007.SH,600007,2021-03-04,"11,713,587",1.16,12.130
600008.SH,600008,2021-03-04,"109,105,426",1.48,3.010
600009.SH,600009,2021-03-04,"192,419,242",17.59,60.030
600010.SH,600010,2021-03-04,"686,215,710",2.16,2.130
600011.SH,600011,2021-03-04,"135,326,975",1.23,4.300
600012.SH,600012,2021-03-04,"17,585,790",1.50,6.280
600015.SH,600015,2021-03-04,"259,649,508",2.02,6.370
600016.SH,600016,2021-03-04,"667,765,588",1.88,5.220
600017.SH,600017,2021-03-04,"1,697,004",0.05,2.790
600018.SH,600018,2021-03-04,"177,950,231",0.76,4.770
600019.SH,600019,2021-03-04,"1,447,231,470",6.51,8.600
600020.SH,600020,2021-03-04,"23,267,670",1.03,3.260
600021.SH,600021,2021-03-04,"21,935,753",0.93,7.240
600023.SH,600023,2021-03-04,"3,938,592",0.02,3.540
600025.SH,600025,2021-03-04,"43,629,824",0.24,4.550
600026.SH,600026,2021-03-04,"37,765,301",1.38,6.480
600027.SH,600027,2021-03-04,"85,964,846",1.05,3.320
600028.SH,600028,2021-03-04,"1,143,682,584",1.19,4.450
600029.SH,600029,2021-03-04,"670,091,628",8.26,6.270
600030.SH,600030,2021-03-04,"312,501,886",3.18,24.810
600031.SH,600031,2021-03-04,"784,132,459",9.24,40.990
600033.SH,600033,2021-03-04,"819,091",0.02,2.630
600036.SH,600036,2021-03-04,"1,206,180,976",5.84,52.400
600037.SH,600037,2021-03-04,"453,875",0.03,8.780
600038.SH,600038,2021-03-04,"11,692,354",1.98,51.750
600039.SH,600039,2021-03-04,"52,543,526",1.45,5.630
600048.SH,600048,2021-03-04,"545,146,027",4.55,15.620
600050.SH,600050,2021-03-04,"76,138,760",0.24,4.410
600053.SH,600053,2021-03-04,"6,771,242",1.56,17.050
600054.SH,600054,2021-03-04,"1,142,780",0.22,11.050
600056.SH,600056,2021-03-04,"12,649,477",1.18,13.830
600057.SH,600057,2021-03-04,"40,654,311",1.90,6.270
600058.SH,600058,2021-03-04,"118,659",0.01,8.040
600059.SH,600059,2021-03-04,"217,608",0.02,11.280
600060.SH,600060,2021-03-04,"8,086,337",0.61,13.100
600061.SH,600061,2021-03-04,"47,988,295",1.13,12.230
600062.SH,600062,2021-03-04,"35,512,436",3.40,11.650
600063.SH,600063,2021-03-04,"1,550,641",0.08,4.550
600064.SH,600064,2021-03-04,"1,159,414",0.09,10.200
600066.SH,600066,2021-03-04,"166,254,495",7.50,15.970
600067.SH,600067,2021-03-04,"973,373",0.06,3.460
600068.SH,600068,2021-03-04,"97,780,796",2.12,6.840
600070.SH,600070,2021-03-04,"9,053,868",1.73,7.160
600072.SH,600072,2021-03-04,"2,992,526",0.40,11.750
600073.SH,600073,2021-03-04,"6,124,494",0.65,8.820
600075.SH,600075,2021-03-04,"33,911",0.00,7.840
600077.SH,600077,2021-03-04,249,0.00,2.670
600078.SH,600078,2021-03-04,"6,215",0.00,3.750
600079.SH,600079,2021-03-04,"25,405,610",1.87,27.670
600081.SH,600081,2021-03-04,"260,608",0.08,12.410
600085.SH,600085,2021-03-04,"6,545,313",0.47,26.080
600088.SH,600088,2021-03-04,"189,696",0.04,9.730
600089.SH,600089,2021-03-04,"61,361,654",1.65,11.450
600093.SH,600093,2021-03-04,"7,457,919",0.66,8.110
600094.SH,600094,2021-03-04,"53,166,249",2.33,3.890
600096.SH,600096,2021-03-04,"203,687",0.01,8.170
600098.SH,600098,2021-03-04,"1,031,363",0.03,5.830
600100.SH,600100,2021-03-04,"2,273,965",0.07,5.900
600101.SH,600101,2021-03-04,"30,597",0.00,5.380
600104.SH,600104,2021-03-04,"474,865,282",4.06,20.720
600105.SH,600105,2021-03-04,"1,736,130",0.12,3.390
600106.SH,600106,2021-03-04,"1,843,320",0.13,2.620
600108.SH,600108,2021-03-04,"263,648",0.01,2.940
600109.SH,600109,2021-03-04,"85,020,731",2.81,12.510
600110.SH,600110,2021-03-04,"1,500",0.00,8.280
600111.SH,600111,2021-03-04,"85,522,292",2.35,23.250
600112.SH,600112,2021-03-04,"192,779",0.03,1.510
600113.SH,600113,2021-03-04,167,0.00,6.180
600114.SH,600114,2021-03-04,"96,717",0.01,8.740
600115.SH,600115,2021-03-04,"146,152,330",1.49,4.920
600116.SH,600116,2021-03-04,"695,304",0.07,9.010
600118.SH,600118,2021-03-04,"6,348,296",0.53,31.970
600119.SH,600119,2021-03-04,"130,051",0.04,7.050
600120.SH,600120,2021-03-04,"14,527,449",0.65,5.670
