symbol,code,date,shareholding,shareholding_percent,close
688002.SH,688002,2021-03-08,"3,164,840",1.37,83.000
688006.SH,688006,2021-03-08,"471,228",0.43,66.280
688008.SH,688008,2021-03-08,"7,911,481",1.87,74.500
688009.SH,688009,2021-03-08,"9,298,893",0.46,5.860
688012.SH,688012,2021-03-08,"1,327,417",0.53,112.680
688019.SH,688019,2021-03-08,"85,554",0.28,268.000
688122.SH,688122,2021-03-08,"3,565,684",1.14,48.090
688139.SH,688139,2021-03-08,"1,325,196",0.72,72.340
688180.SH,688180,2021-03-08,"2,424,641",3.27,87.750
688185.SH,688185,2021-03-08,"214,409",0.87,390.900
688366.SH,688366,2021-03-08,"106,908",0.27,102.070
688505.SH,688505,2021-03-08,"108,548",0.11,15.640
600000.SH,600000,2021-03-08,"499,738,526",1.70,10.750
600004.SH,600004,2021-03-08,"185,914,530",8.98,13.080
600006.SH,600006,2021-03-08,"25,682",0.00,7.160
600007.SH,600007,2021-03-08,"11,833,787",1.17,12.170
600008.SH,600008,2021-03-08,"107,971,976",1.47,2.950
600009.SH,600009,2021-03-08,"192,001,537",17.55,58.790
600010.SH,600010,2021-03-08,"704,337,124",2.22,1.940
600011.SH,600011,2021-03-08,"132,238,526",1.20,4.390
600012.SH,600012,2021-03-08,"17,973,207",1.54,6.210
600015.SH,600015,2021-03-08,"260,764,720",2.03,6.420
600016.SH,600016,2021-03-08,"654,970,656",1.84,5.200
600017.SH,600017,2021-03-08,"1,697,004",0.05,2.800
600018.SH,600018,2021-03-08,"183,361,634",0.79,4.770
600019.SH,600019,2021-03-08,"1,459,738,211",6.57,8.030
600020.SH,600020,2021-03-08,"23,969,570",1.06,3.270
600021.SH,600021,2021-03-08,"22,064,322",0.94,7.390
600023.SH,600023,2021-03-08,"3,938,592",0.02,3.560
600025.SH,600025,2021-03-08,"41,796,169",0.23,4.620
600026.SH,600026,2021-03-08,"36,463,649",1.33,6.450
600027.SH,600027,2021-03-08,"87,134,609",1.06,3.340
600028.SH,600028,2021-03-08,"1,150,136,086",1.20,4.560
600029.SH,600029,2021-03-08,"664,330,705",8.18,6.030
600030.SH,600030,2021-03-08,"304,491,812",3.10,24.540
600031.SH,600031,2021-03-08,"782,742,760",9.23,39.710
600033.SH,600033,2021-03-08,"819,091",0.02,2.630
600036.SH,600036,2021-03-08,"1,215,878,608",5.89,49.930
600037.SH,600037,2021-03-08,"453,875",0.03,8.870
600038.SH,600038,2021-03-08,"11,844,411",2.00,47.500
600039.SH,600039,2021-03-08,"53,189,690",1.47,5.690
600048.SH,600048,2021-03-08,"542,892,184",4.53,15.180
600050.SH,600050,2021-03-08,"75,482,898",0.24,4.500
600053.SH,600053,2021-03-08,"6,348,461",1.46,17.500
600054.SH,600054,2021-03-08,"1,142,780",0.22,10.540
600056.SH,600056,2021-03-08,"12,769,290",1.19,13.880
600057.SH,600057,2021-03-08,"41,090,816",1.92,6.080
600058.SH,600058,2021-03-08,"118,659",0.01,7.830
600059.SH,600059,2021-03-08,"217,608",0.02,11.280
600060.SH,600060,2021-03-08,"8,086,337",0.61,12.390
600061.SH,600061,2021-03-08,"47,607,173",1.12,12.250
600062.SH,600062,2021-03-08,"35,893,958",3.44,11.720
600063.SH,600063,2021-03-08,"1,550,641",0.08,4.410
600064.SH,600064,2021-03-08,"1,159,414",0.09,10.170
600066.SH,600066,2021-03-08,"165,292,256",7.46,16.890
600067.SH,600067,2021-03-08,"973,373",0.06,3.410
600068.SH,600068,2021-03-08,"97,963,217",2.12,6.870
600070.SH,600070,2021-03-08,"9,559,968",1.83,7.230
600072.SH,600072,2021-03-08,"2,393,776",0.32,11.570
600073.SH,600073,2021-03-08,"5,803,351",0.61,8.870
600075.SH,600075,2021-03-08,"33,911",0.00,7.130
600077.SH,600077,2021-03-08,249,0.00,2.660
600078.SH,600078,2021-03-08,"6,215",0.00,3.690
600079.SH,600079,2021-03-08,"23,497,630",1.73,26.050
600081.SH,600081,2021-03-08,"260,608",0.08,12.470
600085.SH,600085,2021-03-08,"6,405,113",0.46,26.320
600088.SH,600088,2021-03-08,"189,696",0.04,9.820
600089.SH,600089,2021-03-08,"65,678,722",1.76,10.950
600093.SH,600093,2021-03-08,"7,204,214",0.64,8.220
600094.SH,600094,2021-03-08,"61,556,149",2.70,3.890
600096.SH,600096,2021-03-08,"203,687",0.01,7.910
600098.SH,600098,2021-03-08,"1,031,363",0.03,5.990
600100.SH,600100,2021-03-08,"2,273,965",0.07,6.150
600101.SH,600101,2021-03-08,"30,597",0.00,5.450
600104.SH,600104,2021-03-08,"468,945,525",4.01,20.450
600105.SH,600105,2021-03-08,"1,736,130",0.12,3.720
600106.SH,600106,2021-03-08,"1,843,320",0.13,2.640
600108.SH,600108,2021-03-08,"263,648",0.01,2.830
600109.SH,600109,2021-03-08,"82,074,373",2.71,12.630
600110.SH,600110,2021-03-08,"1,500",0.00,8.040
600111.SH,600111,2021-03-08,"85,770,192",2.36,22.340
600112.SH,600112,2021-03-08,"192,779",0.03,1.450
600113.SH,600113,2021-03-08,167,0.00,6.110
600114.SH,600114,2021-03-08,"96,717",0.01,8.720
600115.SH,600115,2021-03-08,"142,697,687",1.45,4.820
600116.SH,600116,2021-03-08,"695,304",0.07,9.030
600118.SH,600118,2021-03-08,"6,184,155",0.52,31.060
600119.SH,600119,2021-03-08,"130,051",0.04,7.080
600120.SH,600120,2021-03-08,"15,661,489",0.70,5.710
600122.SH,600122,2021-03-08,"1,942,303",0.16,1.180
600123.SH,600123,2021-03-08,"483,639",0.04,5.290
600125.SH,600125,2021-03-08,"35,167,023",2.69,5.370
600131.SH,600131,2021-03-08,"6,341,912",1.17,15.010
600132.SH,600132,2021-03-08,"36,111,746",7.46,98.260
600135.SH,600135,2021-03-08,"222,166",0.05,6.040
600136.SH,600136,2021-03-08,"1,077,373",0.22,6.070
600138.SH,600138,2021-03-08,"25,059,115",3.46,11.280
600141.SH,600141,2021-03-08,"15,432,530",1.80,13.410
600143.SH,600143,2021-03-08,"85,520,566",3.32,24.010
600150.SH,600150,2021-03-08,"9,956,065",0.61,15.560
600153.SH,600153,2021-03-08,"100,073,295",3.52,8.250
600155.SH,600155,2021-03-08,"10,391,382",0.59,10.610
600157.SH,600157,2021-03-08,"2,574,742",0.01,1.390
600158.SH,600158,2021-03-08,"193,381",0.02,10.990
600160.SH,600160,2021-03-08,"64,150,455",2.37,8.460
600161.SH,600161,2021-03-08,"20,107,647",1.60,34.900
600162.SH,600162,2021-03-08,"13,719,507",0.40,1.840
600166.SH,600166,2021-03-08,"2,978,401",0.04,3.640
600167.SH,600167,2021-03-08,"17,535,812",0.76,11.490
600168.SH,600168,2021-03-08,"94,720",0.01,6.650
600169.SH,600169,2021-03-08,"2,616,502",0.10,2.870
600170.SH,600170,2021-03-08,"188,967,197",2.12,3.000
600171.SH,600171,2021-03-08,"6,322,408",0.90,14.790
600172.SH,600172,2021-03-08,"1,187,929",0.09,3.190
600173.SH,600173,2021-03-08,"689,582",0.09,4.450
600176.SH,600176,2021-03-08,"279,657,268",7.98,20.720
600177.SH,600177,2021-03-08,"81,422,017",1.75,7.960
600179.SH,600179,2021-03-08,"327,041",0.00,3.890
600180.SH,600180,2021-03-08,"34,751,987",3.41,5.290
600183.SH,600183,2021-03-08,"113,769,591",4.96,26.450
600185.SH,600185,2021-03-08,"94,283,163",4.57,6.000
600188.SH,600188,2021-03-08,"87,124,427",2.94,11.750
600190.SH,600190,2021-03-08,"268,304",0.01,2.910
600195.SH,600195,2021-03-08,"210,694",0.02,13.840
600196.SH,600196,2021-03-08,"33,371,818",1.65,40.300
600197.SH,600197,2021-03-08,"668,815",0.14,18.720
600200.SH,600200,2021-03-08,"2,962,457",0.41,4.910
600201.SH,600201,2021-03-08,"213,445,505",19.05,21.000
600206.SH,600206,2021-03-08,"5,346,875",0.63,12.530
600208.SH,600208,2021-03-08,"112,250,636",1.30,3.090
