symbol,code,date,shareholding,shareholding_percent
688002.SH,688002,2021-02-08,"1,900,004",0.82
688006.SH,688006,2021-02-08,"519,981",0.47
688008.SH,688008,2021-02-08,"3,551,810",0.84
688009.SH,688009,2021-02-08,"1,711,367",0.08
688012.SH,688012,2021-02-08,"449,353",0.18
688019.SH,688019,2021-02-08,"65,637",0.21
688122.SH,688122,2021-02-08,"1,893,824",0.60
688139.SH,688139,2021-02-08,"920,836",0.50
688180.SH,688180,2021-02-08,"537,173",0.72
688185.SH,688185,2021-02-08,"138,801",0.60
688366.SH,688366,2021-02-08,"28,537",0.07
688505.SH,688505,2021-02-08,"133,982",0.13
600000.SH,600000,2021-02-08,"506,732,228",1.72
600004.SH,600004,2021-02-08,"149,860,697",7.24
600006.SH,600006,2021-02-08,"30,082",0.00
600007.SH,600007,2021-02-08,"11,154,687",1.10
600008.SH,600008,2021-02-08,"99,716,540",1.35
600009.SH,600009,2021-02-08,"240,220,719",21.96
600010.SH,600010,2021-02-08,"582,247,551",1.83
600011.SH,600011,2021-02-08,"155,232,063",1.41
600012.SH,600012,2021-02-08,"15,783,721",1.35
600015.SH,600015,2021-02-08,"279,297,713",2.17
600016.SH,600016,2021-02-08,"683,281,852",1.92
600017.SH,600017,2021-02-08,"1,699,004",0.05
600018.SH,600018,2021-02-08,"151,148,516",0.65
600019.SH,600019,2021-02-08,"1,447,302,684",6.51
600020.SH,600020,2021-02-08,"19,959,467",0.88
600021.SH,600021,2021-02-08,"22,050,857",0.93
600023.SH,600023,2021-02-08,"3,939,092",0.02
600025.SH,600025,2021-02-08,"60,902,538",0.33
600026.SH,600026,2021-02-08,"36,001,052",1.31
600027.SH,600027,2021-02-08,"86,115,461",1.05
600028.SH,600028,2021-02-08,"1,038,836,869",1.08
600029.SH,600029,2021-02-08,"639,216,010",7.88
600030.SH,600030,2021-02-08,"317,617,452",3.23
600031.SH,600031,2021-02-08,"787,516,274",9.28
600033.SH,600033,2021-02-08,"822,291",0.02
600036.SH,600036,2021-02-08,"1,163,926,763",5.64
600037.SH,600037,2021-02-08,"453,975",0.03
600038.SH,600038,2021-02-08,"13,665,059",2.31
600039.SH,600039,2021-02-08,"45,383,143",1.25
600048.SH,600048,2021-02-08,"529,746,151",4.42
600050.SH,600050,2021-02-08,"81,112,333",0.26
600053.SH,600053,2021-02-08,"6,244,109",1.44
600054.SH,600054,2021-02-08,"1,143,780",0.22
600056.SH,600056,2021-02-08,"12,155,921",1.13
600057.SH,600057,2021-02-08,"30,584,922",1.41
600058.SH,600058,2021-02-08,"118,659",0.01
600059.SH,600059,2021-02-08,"217,608",0.02
600060.SH,600060,2021-02-08,"8,194,037",0.62
600061.SH,600061,2021-02-08,"45,186,840",1.06
600062.SH,600062,2021-02-08,"33,647,171",3.22
600063.SH,600063,2021-02-08,"1,551,641",0.08
600064.SH,600064,2021-02-08,"1,159,414",0.09
600066.SH,600066,2021-02-08,"169,861,579",7.67
600067.SH,600067,2021-02-08,"973,373",0.06
600068.SH,600068,2021-02-08,"82,871,619",1.79
600070.SH,600070,2021-02-08,"3,953,318",0.75
600072.SH,600072,2021-02-08,"2,636,983",0.35
600073.SH,600073,2021-02-08,"6,468,397",0.68
600075.SH,600075,2021-02-08,"33,911",0.00
600077.SH,600077,2021-02-08,249,0.00
600078.SH,600078,2021-02-08,"6,215",0.00
600079.SH,600079,2021-02-08,"36,710,562",2.71
600081.SH,600081,2021-02-08,"260,608",0.08
600085.SH,600085,2021-02-08,"7,085,902",0.51
600086.SH,600086,2021-02-08,"1,827",0.00
600088.SH,600088,2021-02-08,"189,696",0.04
600089.SH,600089,2021-02-08,"75,009,413",2.01
600093.SH,600093,2021-02-08,"4,698,324",0.41
600094.SH,600094,2021-02-08,"50,137,312",2.20
600096.SH,600096,2021-02-08,"203,687",0.01
600098.SH,600098,2021-02-08,"1,031,363",0.03
600100.SH,600100,2021-02-08,"2,273,965",0.07
600101.SH,600101,2021-02-08,"30,597",0.00
600104.SH,600104,2021-02-08,"517,034,478",4.42
600105.SH,600105,2021-02-08,"1,736,130",0.12
600106.SH,600106,2021-02-08,"1,843,320",0.13
600108.SH,600108,2021-02-08,"265,448",0.01
600109.SH,600109,2021-02-08,"74,293,986",2.45
600110.SH,600110,2021-02-08,"1,500",0.00
600111.SH,600111,2021-02-08,"88,420,894",2.43
600112.SH,600112,2021-02-08,"192,779",0.03
600113.SH,600113,2021-02-08,167,0.00
600114.SH,600114,2021-02-08,"96,717",0.01
600115.SH,600115,2021-02-08,"138,552,759",1.41
600116.SH,600116,2021-02-08,"695,304",0.07
600118.SH,600118,2021-02-08,"6,087,413",0.51
600119.SH,600119,2021-02-08,"130,051",0.04
600120.SH,600120,2021-02-08,"10,893,892",0.48
600122.SH,600122,2021-02-08,"2,546,303",0.21
600123.SH,600123,2021-02-08,"483,639",0.04
600125.SH,600125,2021-02-08,"35,083,462",2.68
600131.SH,600131,2021-02-08,"5,506,091",1.01
600132.SH,600132,2021-02-08,"29,887,868",6.17
600135.SH,600135,2021-02-08,"222,166",0.05
600136.SH,600136,2021-02-08,"1,242,904",0.25
600138.SH,600138,2021-02-08,"17,696,981",2.44
600141.SH,600141,2021-02-08,"23,400,088",2.78
600143.SH,600143,2021-02-08,"105,295,288",4.09
600150.SH,600150,2021-02-08,"9,793,953",0.60
600153.SH,600153,2021-02-08,"93,701,399",3.30
600155.SH,600155,2021-02-08,"6,950,388",0.39
600157.SH,600157,2021-02-08,"2,574,742",0.01
600158.SH,600158,2021-02-08,"206,381",0.03
600160.SH,600160,2021-02-08,"105,835,300",3.92
600161.SH,600161,2021-02-08,"22,807,463",1.81
600162.SH,600162,2021-02-08,"13,719,794",0.40
600166.SH,600166,2021-02-08,"3,136,701",0.04
600167.SH,600167,2021-02-08,"18,623,761",0.81
600168.SH,600168,2021-02-08,"94,920",0.01
600169.SH,600169,2021-02-08,"2,616,502",0.10
600170.SH,600170,2021-02-08,"176,503,046",1.98
600171.SH,600171,2021-02-08,"4,984,006",0.71
600172.SH,600172,2021-02-08,"1,187,929",0.09
600173.SH,600173,2021-02-08,"689,582",0.09
600176.SH,600176,2021-02-08,"267,286,933",7.63
600177.SH,600177,2021-02-08,"83,671,623",1.80
600179.SH,600179,2021-02-08,"327,041",0.00
600180.SH,600180,2021-02-08,"33,847,551",3.32
600183.SH,600183,2021-02-08,"121,799,946",5.31
600185.SH,600185,2021-02-08,"89,023,974",4.31
600188.SH,600188,2021-02-08,"65,917,920",2.22
600190.SH,600190,2021-02-08,"268,304",0.01
600195.SH,600195,2021-02-08,"213,566",0.02
600196.SH,600196,2021-02-08,"35,686,793",1.77
600197.SH,600197,2021-02-08,"1,007,304",0.21
600200.SH,600200,2021-02-08,"2,962,457",0.41
600201.SH,600201,2021-02-08,"206,628,617",18.44
600206.SH,600206,2021-02-08,"8,733,096",1.03
600208.SH,600208,2021-02-08,"102,828,581",1.19
600210.SH,600210,2021-02-08,"43,902,478",2.89
600211.SH,600211,2021-02-08,"660,596",0.26
600216.SH,600216,2021-02-08,"8,208,851",0.85
600219.SH,600219,2021-02-08,"301,238,742",2.52
600221.SH,600221,2021-02-08,"40,486,982",0.24
600223.SH,600223,2021-02-08,"3,655,700",0.36
600226.SH,600226,2021-02-08,"528,052",0.02
600230.SH,600230,2021-02-08,"12,012",0.00
600231.SH,600231,2021-02-08,"619,386",0.02
600233.SH,600233,2021-02-08,"53,901,365",1.70
600236.SH,600236,2021-02-08,"25,215,994",0.31
600238.SH,600238,2021-02-08,400,0.00
600239.SH,600239,2021-02-08,"1,086,781",0.06
600248.SH,600248,2021-02-08,"2,651",0.00
600251.SH,600251,2021-02-08,"55,423",0.00
600252.SH,600252,2021-02-08,"20,173,307",0.58
600255.SH,600255,2021-02-08,"574,897",0.03
600256.SH,600256,2021-02-08,"103,966,109",1.53
600257.SH,600257,2021-02-08,"286,937",0.05
600258.SH,600258,2021-02-08,"74,776,141",7.63
600259.SH,600259,2021-02-08,"306,600",0.10
600260.SH,600260,2021-02-08,"22,131,301",2.27
600261.SH,600261,2021-02-08,"23,572,132",1.62
600266.SH,600266,2021-02-08,"1,747,185",0.07
600267.SH,600267,2021-02-08,"720,925",0.07
600268.SH,600268,2021-02-08,"20,400",0.00
600269.SH,600269,2021-02-08,"1,575,494",0.06
600271.SH,600271,2021-02-08,"9,816,421",0.52
600273.SH,600273,2021-02-08,"27,852,940",1.94
600276.SH,600276,2021-02-08,"670,442,781",12.63
600277.SH,600277,2021-02-08,"8,171,191",0.29
600278.SH,600278,2021-02-08,"7,294",0.00
600280.SH,600280,2021-02-08,"117,881",0.01
600282.SH,600282,2021-02-08,"172,759,403",3.88
600284.SH,600284,2021-02-08,"6,526,523",0.67
600285.SH,600285,2021-02-08,"12,908,273",2.27
600289.SH,600289,2021-02-08,"69,611",0.01
600290.SH,600290,2021-02-08,200,0.00
600291.SH,600291,2021-02-08,"531,588",0.04
600292.SH,600292,2021-02-08,"829,738",0.10
600295.SH,600295,2021-02-08,"6,548,247",1.00
600297.SH,600297,2021-02-08,"38,490,710",0.47
600298.SH,600298,2021-02-08,"92,614,360",11.23
600299.SH,600299,2021-02-08,"11,122,148",0.41
600300.SH,600300,2021-02-08,"1,067,281",0.06
600305.SH,600305,2021-02-08,"54,468,265",5.43
600307.SH,600307,2021-02-08,"1,578,608",0.02
600309.SH,600309,2021-02-08,"148,847,887",10.45
600310.SH,600310,2021-02-08,"1,625,006",0.19
600312.SH,600312,2021-02-08,"11,229,442",0.82
600315.SH,600315,2021-02-08,"24,580,642",3.66
600316.SH,600316,2021-02-08,"260,546",0.03
600318.SH,600318,2021-02-08,"13,468",0.00
600321.SH,600321,2021-02-08,"134,400",0.00
600323.SH,600323,2021-02-08,"5,638,685",0.73
600325.SH,600325,2021-02-08,"35,659,156",1.68
600326.SH,600326,2021-02-08,"10,691,165",1.16
600327.SH,600327,2021-02-08,"315,161",0.03
600329.SH,600329,2021-02-08,"17,454,412",3.08
600332.SH,600332,2021-02-08,"19,133,400",1.36
600333.SH,600333,2021-02-08,"5,800",0.00
600335.SH,600335,2021-02-08,"2,227,803",0.21
600337.SH,600337,2021-02-08,"17,973,889",1.10
600338.SH,600338,2021-02-08,"6,868,376",0.75
600340.SH,600340,2021-02-08,"123,680,968",3.17
600343.SH,600343,2021-02-08,"535,571",0.08
600345.SH,600345,2021-02-08,"49,492",0.02
600346.SH,600346,2021-02-08,"147,386,380",3.18
600348.SH,600348,2021-02-08,"49,848,069",2.07
600350.SH,600350,2021-02-08,"21,603,611",0.44
600351.SH,600351,2021-02-08,"797,372",0.10
600352.SH,600352,2021-02-08,"90,392,843",2.77
600353.SH,600353,2021-02-08,"2,000",0.00
600362.SH,600362,2021-02-08,"44,872,715",2.16
600363.SH,600363,2021-02-08,"5,765,592",1.30
600366.SH,600366,2021-02-08,"11,037,988",1.11
600368.SH,600368,2021-02-08,"16,406,812",1.45
600369.SH,600369,2021-02-08,"64,322,552",1.13
600372.SH,600372,2021-02-08,"32,245,970",1.67
600373.SH,600373,2021-02-08,"63,035,494",4.65
600375.SH,600375,2021-02-08,"74,101",0.01
600376.SH,600376,2021-02-08,"23,285,794",0.90
600377.SH,600377,2021-02-08,"13,770,103",0.36
600378.SH,600378,2021-02-08,"5,072,847",1.42
600380.SH,600380,2021-02-08,"107,077,124",5.48
600381.SH,600381,2021-02-08,100,0.00
600382.SH,600382,2021-02-08,"2,366",0.00
600383.SH,600383,2021-02-08,"112,231,981",2.48
600386.SH,600386,2021-02-08,"497,355",0.06
600387.SH,600387,2021-02-08,"4,919,216",1.21
600388.SH,600388,2021-02-08,"11,497,867",1.07
600389.SH,600389,2021-02-08,50,0.00
600391.SH,600391,2021-02-08,"517,350",0.15
600392.SH,600392,2021-02-08,"39,596,510",2.25
600393.SH,600393,2021-02-08,"2,087,838",0.21
600395.SH,600395,2021-02-08,"26,436,479",1.59
600396.SH,600396,2021-02-08,"132,900",0.00
600397.SH,600397,2021-02-08,"489,383",0.04
600398.SH,600398,2021-02-08,"16,161,175",0.37
600399.SH,600399,2021-02-08,"55,137",0.00
600400.SH,600400,2021-02-08,"1,012,463",0.03
600403.SH,600403,2021-02-08,"62,059",0.00
600405.SH,600405,2021-02-08,"88,002",0.01
600406.SH,600406,2021-02-08,"590,439,848",12.88
600409.SH,600409,2021-02-08,"28,417,172",1.37
600410.SH,600410,2021-02-08,"1,173,683",0.10
600415.SH,600415,2021-02-08,"15,137,964",0.27
600416.SH,600416,2021-02-08,"358,882",0.03
600418.SH,600418,2021-02-08,"2,337,197",0.12
600420.SH,600420,2021-02-08,"6,686,872",0.65
600422.SH,600422,2021-02-08,"7,875,602",1.03
600425.SH,600425,2021-02-08,"34,473",0.00
600426.SH,600426,2021-02-08,"53,370,203",3.28
600428.SH,600428,2021-02-08,"850,949",0.03
600433.SH,600433,2021-02-08,"667,041",0.05
600435.SH,600435,2021-02-08,"1,076,895",0.07
600436.SH,600436,2021-02-08,"18,685,527",3.09
600438.SH,600438,2021-02-08,"218,058,258",5.08
600439.SH,600439,2021-02-08,"3,891,079",0.34
600446.SH,600446,2021-02-08,"14,917,945",1.74
600449.SH,600449,2021-02-08,"400,777",0.08
600452.SH,600452,2021-02-08,"3,385,290",0.77
600458.SH,600458,2021-02-08,"209,036",0.02
600459.SH,600459,2021-02-08,"3,135,444",0.71
600460.SH,600460,2021-02-08,"27,599,502",2.10
600466.SH,600466,2021-02-08,"37,165,087",1.22
600467.SH,600467,2021-02-08,"34,900",0.00
600468.SH,600468,2021-02-08,"673,979",0.06
600469.SH,600469,2021-02-08,300,0.00
600470.SH,600470,2021-02-08,100,0.00
600477.SH,600477,2021-02-08,"7,920,455",0.36
600478.SH,600478,2021-02-08,"21,935",0.00
600479.SH,600479,2021-02-08,"393,122",0.09
600480.SH,600480,2021-02-08,"584,532",0.07
600481.SH,600481,2021-02-08,"1,477,577",0.09
600482.SH,600482,2021-02-08,"1,678,603",0.19
600483.SH,600483,2021-02-08,"7,553,203",0.48
600485.SH,600485,2021-02-08,"628,734",0.03
600486.SH,600486,2021-02-08,"6,386,913",2.06
600487.SH,600487,2021-02-08,"39,891,357",2.09
600488.SH,600488,2021-02-08,"2,630",0.00
600489.SH,600489,2021-02-08,"63,992,041",1.85
600490.SH,600490,2021-02-08,"2,324,317",0.12
600491.SH,600491,2021-02-08,"9,258,901",0.60
600495.SH,600495,2021-02-08,"644,310",0.05
600496.SH,600496,2021-02-08,"1,356,225",0.08
600497.SH,600497,2021-02-08,"3,896,485",0.07
600498.SH,600498,2021-02-08,"23,590,356",2.08
600499.SH,600499,2021-02-08,"1,091,883",0.06
600500.SH,600500,2021-02-08,"6,715,956",0.24
600501.SH,600501,2021-02-08,"674,361",0.16
600502.SH,600502,2021-02-08,"8,828,960",0.51
600503.SH,600503,2021-02-08,"1,424,449",0.08
600507.SH,600507,2021-02-08,"159,977,392",7.42
600508.SH,600508,2021-02-08,100,0.00
600509.SH,600509,2021-02-08,"8,725",0.00
600510.SH,600510,2021-02-08,"1,964,467",0.18
600511.SH,600511,2021-02-08,"13,659,861",2.46
600513.SH,600513,2021-02-08,"48,781",0.01
600516.SH,600516,2021-02-08,"85,699,467",2.25
600517.SH,600517,2021-02-08,"1,166,824",0.06
600518.SH,600518,2021-02-08,"1,361,139",0.03
600519.SH,600519,2021-02-08,"100,935,054",8.03
600521.SH,600521,2021-02-08,"24,420,059",1.67
600522.SH,600522,2021-02-08,"87,517,791",2.85
600523.SH,600523,2021-02-08,"9,280",0.00
600525.SH,600525,2021-02-08,"1,955,154",0.14
600526.SH,600526,2021-02-08,"1,343,592",0.24
600527.SH,600527,2021-02-08,"3,481,754",0.20
600528.SH,600528,2021-02-08,"1,664,884",0.07
600529.SH,600529,2021-02-08,"42,546,702",7.15
600531.SH,600531,2021-02-08,"8,530,562",0.78
600532.SH,600532,2021-02-08,"37,201",0.00
600535.SH,600535,2021-02-08,"2,965,037",0.19
600536.SH,600536,2021-02-08,"11,155,123",2.25
600537.SH,600537,2021-02-08,"626,291",0.05
600545.SH,600545,2021-02-08,"3,919,912",0.20
600546.SH,600546,2021-02-08,"12,098",0.00
600547.SH,600547,2021-02-08,"66,783,064",1.88
600548.SH,600548,2021-02-08,"6,650,152",0.46
600549.SH,600549,2021-02-08,"39,456,434",2.80
600551.SH,600551,2021-02-08,"247,978",0.04
600552.SH,600552,2021-02-08,"1,705,654",0.22
600556.SH,600556,2021-02-08,"2,385,064",0.68
600557.SH,600557,2021-02-08,"6,748,524",1.13
600559.SH,600559,2021-02-08,"8,261,899",0.94
600561.SH,600561,2021-02-08,"11,900",0.00
600562.SH,600562,2021-02-08,"2,365,846",0.35
600563.SH,600563,2021-02-08,"7,712,909",3.42
600565.SH,600565,2021-02-08,"27,586,659",1.14
600566.SH,600566,2021-02-08,"16,856,391",2.06
600567.SH,600567,2021-02-08,"82,744,355",1.80
600568.SH,600568,2021-02-08,"506,541",0.03
600570.SH,600570,2021-02-08,"84,852,365",8.12
600571.SH,600571,2021-02-08,"674,245",0.15
600572.SH,600572,2021-02-08,"11,401,703",0.42
600577.SH,600577,2021-02-08,"26,376,706",1.37
600578.SH,600578,2021-02-08,"4,743,956",0.07
600580.SH,600580,2021-02-08,"24,858,653",1.90
600582.SH,600582,2021-02-08,"158,712,381",3.83
600583.SH,600583,2021-02-08,"90,054,631",2.03
600584.SH,600584,2021-02-08,"9,068,495",0.66
600585.SH,600585,2021-02-08,"357,969,393",8.94
600586.SH,600586,2021-02-08,"1,377,729",0.09
600587.SH,600587,2021-02-08,"9,516,685",2.35
600588.SH,600588,2021-02-08,"126,592,830",3.89
600589.SH,600589,2021-02-08,101,0.00
600594.SH,600594,2021-02-08,"723,364",0.09
600596.SH,600596,2021-02-08,"12,403,509",1.77
600597.SH,600597,2021-02-08,"16,680,061",1.36
600598.SH,600598,2021-02-08,"32,317,518",1.81
600600.SH,600600,2021-02-08,"19,548,563",2.80
600601.SH,600601,2021-02-08,"1,715,472",0.07
600604.SH,600604,2021-02-08,"253,708",0.01
600606.SH,600606,2021-02-08,"244,816,638",2.01
600611.SH,600611,2021-02-08,"11,259,197",0.72
600612.SH,600612,2021-02-08,"2,436,354",0.76
600613.SH,600613,2021-02-08,"398,145",0.08
600614.SH,600614,2021-02-08,"749,936",0.04
600616.SH,600616,2021-02-08,"4,941",0.00
600617.SH,600617,2021-02-08,"133,104",0.01
600618.SH,600618,2021-02-08,"3,200",0.00
600620.SH,600620,2021-02-08,"6,095",0.00
600621.SH,600621,2021-02-08,"4,005,849",0.37
600622.SH,600622,2021-02-08,"9,504,812",0.63
600623.SH,600623,2021-02-08,"2,768,494",0.14
600624.SH,600624,2021-02-08,"106,136",0.01
600626.SH,600626,2021-02-08,"5,362,562",0.66
600628.SH,600628,2021-02-08,"331,057",0.05
600629.SH,600629,2021-02-08,41,0.00
600633.SH,600633,2021-02-08,"446,547",0.03
600634.SH,600634,2021-02-08,"7,096",0.00
600635.SH,600635,2021-02-08,"9,116,306",0.37
600636.SH,600636,2021-02-08,"42,878",0.00
600637.SH,600637,2021-02-08,"64,525,833",1.88
600638.SH,600638,2021-02-08,"379,117",0.05
600639.SH,600639,2021-02-08,"8,917,534",1.04
600640.SH,600640,2021-02-08,"34,045",0.00
600641.SH,600641,2021-02-08,"27,363,324",2.85
600642.SH,600642,2021-02-08,"70,901,976",1.55
600643.SH,600643,2021-02-08,"28,039,257",1.73
600645.SH,600645,2021-02-08,"350,101",0.08
600648.SH,600648,2021-02-08,"5,356,587",0.57
600649.SH,600649,2021-02-08,"2,553,380",0.10
600650.SH,600650,2021-02-08,"337,569",0.08
600651.SH,600651,2021-02-08,"67,298",0.00
600654.SH,600654,2021-02-08,"227,831",0.03
600655.SH,600655,2021-02-08,"65,139,927",4.05
600657.SH,600657,2021-02-08,"23,703,921",1.55
600658.SH,600658,2021-02-08,91,0.00
600660.SH,600660,2021-02-08,"159,134,281",7.94
600661.SH,600661,2021-02-08,"47,676",0.01
600662.SH,600662,2021-02-08,"513,013",0.04
600663.SH,600663,2021-02-08,"8,605,996",0.29
600664.SH,600664,2021-02-08,"5,183,975",0.20
600666.SH,600666,2021-02-08,"751,867",0.09
600667.SH,600667,2021-02-08,"48,915,882",2.32
600668.SH,600668,2021-02-08,"761,174",0.22
