symbol,code,date,shareholding,shareholding_percent
688002.SH,688002,2021-02-22,"2,088,875",0.90
688006.SH,688006,2021-02-22,"1,015,804",0.93
688008.SH,688008,2021-02-22,"4,795,516",1.13
688009.SH,688009,2021-02-22,"8,058,358",0.40
688012.SH,688012,2021-02-22,"433,973",0.17
688019.SH,688019,2021-02-22,"59,598",0.19
688122.SH,688122,2021-02-22,"2,140,719",0.68
688139.SH,688139,2021-02-22,"981,830",0.53
688180.SH,688180,2021-02-22,"1,705,046",2.29
688185.SH,688185,2021-02-22,"186,958",0.76
688366.SH,688366,2021-02-22,"107,600",0.27
688505.SH,688505,2021-02-22,"269,762",0.27
600000.SH,600000,2021-02-22,"495,084,943",1.68
600004.SH,600004,2021-02-22,"177,973,055",8.60
600006.SH,600006,2021-02-22,"25,682",0.00
600007.SH,600007,2021-02-22,"11,442,356",1.13
600008.SH,600008,2021-02-22,"107,596,656",1.46
600009.SH,600009,2021-02-22,"193,127,610",17.66
600010.SH,600010,2021-02-22,"632,005,196",1.99
600011.SH,600011,2021-02-22,"154,997,922",1.40
600012.SH,600012,2021-02-22,"15,420,611",1.32
600015.SH,600015,2021-02-22,"271,704,466",2.11
600016.SH,600016,2021-02-22,"685,011,579",1.93
600017.SH,600017,2021-02-22,"1,699,004",0.05
600018.SH,600018,2021-02-22,"169,916,104",0.73
600019.SH,600019,2021-02-22,"1,558,507,117",7.01
600020.SH,600020,2021-02-22,"21,255,803",0.94
600021.SH,600021,2021-02-22,"22,185,892",0.94
600023.SH,600023,2021-02-22,"3,939,092",0.02
600025.SH,600025,2021-02-22,"56,761,472",0.31
600026.SH,600026,2021-02-22,"39,289,741",1.43
600027.SH,600027,2021-02-22,"89,735,744",1.10
600028.SH,600028,2021-02-22,"1,180,610,481",1.23
600029.SH,600029,2021-02-22,"647,097,899",7.97
600030.SH,600030,2021-02-22,"320,070,082",3.26
600031.SH,600031,2021-02-22,"800,487,995",9.44
600033.SH,600033,2021-02-22,"819,291",0.02
600036.SH,600036,2021-02-22,"1,175,841,540",5.69
600037.SH,600037,2021-02-22,"453,975",0.03
600038.SH,600038,2021-02-22,"12,599,868",2.13
600039.SH,600039,2021-02-22,"50,013,499",1.38
600048.SH,600048,2021-02-22,"515,923,130",4.31
600050.SH,600050,2021-02-22,"76,842,291",0.25
600053.SH,600053,2021-02-22,"6,742,744",1.55
600054.SH,600054,2021-02-22,"1,143,780",0.22
600056.SH,600056,2021-02-22,"13,185,420",1.23
600057.SH,600057,2021-02-22,"35,198,586",1.64
600058.SH,600058,2021-02-22,"118,659",0.01
600059.SH,600059,2021-02-22,"217,608",0.02
600060.SH,600060,2021-02-22,"8,193,037",0.62
600061.SH,600061,2021-02-22,"47,413,680",1.12
600062.SH,600062,2021-02-22,"33,536,991",3.21
600063.SH,600063,2021-02-22,"1,550,641",0.08
600064.SH,600064,2021-02-22,"1,159,414",0.09
600066.SH,600066,2021-02-22,"178,535,600",8.06
600067.SH,600067,2021-02-22,"973,373",0.06
600068.SH,600068,2021-02-22,"99,971,431",2.17
600070.SH,600070,2021-02-22,"7,656,184",1.46
600072.SH,600072,2021-02-22,"2,851,898",0.38
600073.SH,600073,2021-02-22,"8,766,662",0.93
600075.SH,600075,2021-02-22,"33,911",0.00
600077.SH,600077,2021-02-22,249,0.00
600078.SH,600078,2021-02-22,"6,215",0.00
600079.SH,600079,2021-02-22,"28,653,579",2.11
600081.SH,600081,2021-02-22,"260,608",0.08
600085.SH,600085,2021-02-22,"6,966,557",0.50
600086.SH,600086,2021-02-22,"1,827",0.00
600088.SH,600088,2021-02-22,"189,696",0.04
600089.SH,600089,2021-02-22,"62,721,716",1.68
600093.SH,600093,2021-02-22,"6,061,371",0.54
600094.SH,600094,2021-02-22,"54,190,690",2.38
600096.SH,600096,2021-02-22,"203,687",0.01
600098.SH,600098,2021-02-22,"1,031,363",0.03
600100.SH,600100,2021-02-22,"2,273,965",0.07
600101.SH,600101,2021-02-22,"30,597",0.00
600104.SH,600104,2021-02-22,"505,472,146",4.32
600105.SH,600105,2021-02-22,"1,736,130",0.12
600106.SH,600106,2021-02-22,"1,843,320",0.13
600108.SH,600108,2021-02-22,"264,248",0.01
600109.SH,600109,2021-02-22,"93,944,418",3.10
600110.SH,600110,2021-02-22,"1,500",0.00
600111.SH,600111,2021-02-22,"87,488,969",2.40
600112.SH,600112,2021-02-22,"192,779",0.03
600113.SH,600113,2021-02-22,167,0.00
600114.SH,600114,2021-02-22,"96,717",0.01
600115.SH,600115,2021-02-22,"150,391,779",1.53
600116.SH,600116,2021-02-22,"695,304",0.07
600118.SH,600118,2021-02-22,"6,520,772",0.55
600119.SH,600119,2021-02-22,"130,051",0.04
600120.SH,600120,2021-02-22,"13,111,860",0.58
600122.SH,600122,2021-02-22,"1,948,303",0.16
600123.SH,600123,2021-02-22,"483,639",0.04
600125.SH,600125,2021-02-22,"36,951,445",2.83
600131.SH,600131,2021-02-22,"6,103,088",1.12
