symbol,code,date,shareholding,shareholding_percent,close
688002.SH,688002,2021-03-07,"2,523,978",1.09,96.600
688006.SH,688006,2021-03-07,"430,898",0.39,66.550
688008.SH,688008,2021-03-07,"8,060,299",1.91,75.730
688009.SH,688009,2021-03-07,"8,108,345",0.40,5.830
688012.SH,688012,2021-03-07,"1,255,370",0.50,121.030
688019.SH,688019,2021-03-07,"121,536",0.40,278.000
688122.SH,688122,2021-03-07,"3,049,938",0.97,55.200
688139.SH,688139,2021-03-07,"1,390,053",0.75,75.410
688180.SH,688180,2021-03-07,"2,304,495",3.10,93.600
688185.SH,688185,2021-03-07,"187,375",0.76,450.900
688366.SH,688366,2021-03-07,"107,435",0.27,109.150
688505.SH,688505,2021-03-07,"147,121",0.14,15.680
600000.SH,600000,2021-03-07,"504,903,304",1.72,10.860
600004.SH,600004,2021-03-07,"186,705,097",9.02,13.380
600006.SH,600006,2021-03-07,"25,682",0.00,7.230
600007.SH,600007,2021-03-07,"11,724,187",1.16,12.160
600008.SH,600008,2021-03-07,"107,683,636",1.46,2.990
600009.SH,600009,2021-03-07,"192,301,190",17.58,60.680
600010.SH,600010,2021-03-07,"704,550,103",2.22,2.080
600011.SH,600011,2021-03-07,"130,619,357",1.18,4.250
600012.SH,600012,2021-03-07,"17,461,407",1.49,6.240
600015.SH,600015,2021-03-07,"259,125,186",2.02,6.390
600016.SH,600016,2021-03-07,"669,513,367",1.88,5.230
600017.SH,600017,2021-03-07,"1,697,004",0.05,2.820
600018.SH,600018,2021-03-07,"178,283,833",0.76,4.750
600019.SH,600019,2021-03-07,"1,442,747,824",6.49,7.930
600020.SH,600020,2021-03-07,"23,618,570",1.05,3.280
600021.SH,600021,2021-03-07,"21,430,037",0.91,7.280
600023.SH,600023,2021-03-07,"3,938,592",0.02,3.540
600025.SH,600025,2021-03-07,"36,458,255",0.20,4.480
600026.SH,600026,2021-03-07,"38,083,939",1.39,6.520
600027.SH,600027,2021-03-07,"83,000,706",1.01,3.300
600028.SH,600028,2021-03-07,"1,136,647,455",1.18,4.500
600029.SH,600029,2021-03-07,"668,930,509",8.24,6.140
