symbol,code,date,shareholding,shareholding_percent
688002.SH,688002,2021-02-09,"1,924,656",0.83
688006.SH,688006,2021-02-09,"558,395",0.51
688008.SH,688008,2021-02-09,"3,493,450",0.83
688009.SH,688009,2021-02-09,"2,495,933",0.12
688012.SH,688012,2021-02-09,"436,877",0.17
688019.SH,688019,2021-02-09,"54,567",0.18
688122.SH,688122,2021-02-09,"1,965,359",0.62
688139.SH,688139,2021-02-09,"1,152,655",0.62
688180.SH,688180,2021-02-09,"779,786",1.05
688185.SH,688185,2021-02-09,"162,039",0.70
688366.SH,688366,2021-02-09,"111,589",0.28
688505.SH,688505,2021-02-09,"193,013",0.19
600000.SH,600000,2021-02-09,"501,461,280",1.70
600004.SH,600004,2021-02-09,"151,091,574",7.30
600006.SH,600006,2021-02-09,"30,082",0.00
600007.SH,600007,2021-02-09,"11,134,067",1.10
600008.SH,600008,2021-02-09,"99,470,640",1.35
600009.SH,600009,2021-02-09,"241,077,895",22.04
600010.SH,600010,2021-02-09,"587,551,530",1.85
600011.SH,600011,2021-02-09,"152,909,220",1.39
600012.SH,600012,2021-02-09,"15,290,363",1.31
600015.SH,600015,2021-02-09,"272,351,937",2.12
600016.SH,600016,2021-02-09,"672,680,736",1.89
600017.SH,600017,2021-02-09,"1,699,004",0.05
600018.SH,600018,2021-02-09,"151,854,981",0.65
600019.SH,600019,2021-02-09,"1,455,590,454",6.55
600020.SH,600020,2021-02-09,"19,941,067",0.88
600021.SH,600021,2021-02-09,"21,892,089",0.93
600023.SH,600023,2021-02-09,"3,939,092",0.02
600025.SH,600025,2021-02-09,"58,542,287",0.32
600026.SH,600026,2021-02-09,"36,468,873",1.33
600027.SH,600027,2021-02-09,"85,311,761",1.04
600028.SH,600028,2021-02-09,"1,041,142,169",1.08
600029.SH,600029,2021-02-09,"638,779,256",7.87
600030.SH,600030,2021-02-09,"317,294,578",3.23
600031.SH,600031,2021-02-09,"787,474,928",9.28
600033.SH,600033,2021-02-09,"822,291",0.02
600036.SH,600036,2021-02-09,"1,160,451,875",5.62
600037.SH,600037,2021-02-09,"453,975",0.03
600038.SH,600038,2021-02-09,"13,531,899",2.29
600039.SH,600039,2021-02-09,"46,217,447",1.28
600048.SH,600048,2021-02-09,"533,736,834",4.45
600050.SH,600050,2021-02-09,"81,523,133",0.26
600053.SH,600053,2021-02-09,"6,487,409",1.49
600054.SH,600054,2021-02-09,"1,143,780",0.22
600056.SH,600056,2021-02-09,"12,218,045",1.14
600057.SH,600057,2021-02-09,"30,841,947",1.42
600058.SH,600058,2021-02-09,"118,659",0.01
600059.SH,600059,2021-02-09,"217,608",0.02
600060.SH,600060,2021-02-09,"8,194,037",0.62
600061.SH,600061,2021-02-09,"44,972,793",1.06
600062.SH,600062,2021-02-09,"33,719,276",3.23
600063.SH,600063,2021-02-09,"1,551,641",0.08
600064.SH,600064,2021-02-09,"1,159,414",0.09
600066.SH,600066,2021-02-09,"177,938,888",8.03
600067.SH,600067,2021-02-09,"973,373",0.06
600068.SH,600068,2021-02-09,"85,427,834",1.85
600070.SH,600070,2021-02-09,"4,135,318",0.79
600072.SH,600072,2021-02-09,"2,953,564",0.40
600073.SH,600073,2021-02-09,"6,820,693",0.72
600075.SH,600075,2021-02-09,"33,911",0.00
600077.SH,600077,2021-02-09,249,0.00
600078.SH,600078,2021-02-09,"6,215",0.00
600079.SH,600079,2021-02-09,"35,646,115",2.63
600081.SH,600081,2021-02-09,"260,608",0.08
600085.SH,600085,2021-02-09,"7,060,197",0.51
600086.SH,600086,2021-02-09,"1,827",0.00
600088.SH,600088,2021-02-09,"189,696",0.04
600089.SH,600089,2021-02-09,"74,274,570",1.99
600093.SH,600093,2021-02-09,"5,083,105",0.45
600094.SH,600094,2021-02-09,"49,807,212",2.18
600096.SH,600096,2021-02-09,"203,687",0.01
600098.SH,600098,2021-02-09,"1,031,363",0.03
600100.SH,600100,2021-02-09,"2,273,965",0.07
600101.SH,600101,2021-02-09,"30,597",0.00
600104.SH,600104,2021-02-09,"523,028,743",4.47
600105.SH,600105,2021-02-09,"1,736,130",0.12
600106.SH,600106,2021-02-09,"1,843,320",0.13
600108.SH,600108,2021-02-09,"265,448",0.01
600109.SH,600109,2021-02-09,"89,953,466",2.97
600110.SH,600110,2021-02-09,"1,500",0.00
600111.SH,600111,2021-02-09,"93,895,838",2.58
600112.SH,600112,2021-02-09,"192,779",0.03
600113.SH,600113,2021-02-09,167,0.00
600114.SH,600114,2021-02-09,"96,717",0.01
600115.SH,600115,2021-02-09,"136,719,958",1.39
600116.SH,600116,2021-02-09,"695,304",0.07
600118.SH,600118,2021-02-09,"6,358,032",0.53
600119.SH,600119,2021-02-09,"130,051",0.04
600120.SH,600120,2021-02-09,"11,043,605",0.49
600122.SH,600122,2021-02-09,"2,546,303",0.21
600123.SH,600123,2021-02-09,"483,639",0.04
600125.SH,600125,2021-02-09,"34,196,062",2.61
600131.SH,600131,2021-02-09,"5,535,083",1.02
600132.SH,600132,2021-02-09,"29,842,966",6.16
600135.SH,600135,2021-02-09,"222,166",0.05
600136.SH,600136,2021-02-09,"1,080,073",0.22
600138.SH,600138,2021-02-09,"17,737,282",2.45
600141.SH,600141,2021-02-09,"23,685,795",2.81
600143.SH,600143,2021-02-09,"106,152,987",4.12
600150.SH,600150,2021-02-09,"10,350,913",0.63
600153.SH,600153,2021-02-09,"92,882,179",3.27
600155.SH,600155,2021-02-09,"6,281,798",0.36
600157.SH,600157,2021-02-09,"2,574,742",0.01
600158.SH,600158,2021-02-09,"206,381",0.03
600160.SH,600160,2021-02-09,"104,827,778",3.88
600161.SH,600161,2021-02-09,"22,269,260",1.77
600162.SH,600162,2021-02-09,"13,719,694",0.40
600166.SH,600166,2021-02-09,"3,048,801",0.04
600167.SH,600167,2021-02-09,"19,112,205",0.83
600168.SH,600168,2021-02-09,"94,920",0.01
600169.SH,600169,2021-02-09,"2,616,502",0.10
600170.SH,600170,2021-02-09,"175,863,926",1.97
600171.SH,600171,2021-02-09,"4,956,868",0.70
600172.SH,600172,2021-02-09,"1,187,929",0.09
600173.SH,600173,2021-02-09,"689,582",0.09
600176.SH,600176,2021-02-09,"266,405,935",7.60
600177.SH,600177,2021-02-09,"81,864,154",1.76
600179.SH,600179,2021-02-09,"327,041",0.00
600180.SH,600180,2021-02-09,"33,573,451",3.30
600183.SH,600183,2021-02-09,"120,412,570",5.25
600185.SH,600185,2021-02-09,"90,533,717",4.39
600188.SH,600188,2021-02-09,"65,843,110",2.22
