symbol,code,date,shareholding,shareholding_percent
688002.SH,688002,2021-02-19,"2,084,978",0.90
688006.SH,688006,2021-02-19,"909,113",0.83
688008.SH,688008,2021-02-19,"4,433,389",1.05
688009.SH,688009,2021-02-19,"4,992,731",0.24
688012.SH,688012,2021-02-19,"455,325",0.18
688019.SH,688019,2021-02-19,"79,162",0.26
688122.SH,688122,2021-02-19,"1,949,217",0.62
688139.SH,688139,2021-02-19,"1,147,483",0.62
688180.SH,688180,2021-02-19,"1,558,076",2.10
688185.SH,688185,2021-02-19,"192,682",0.78
688366.SH,688366,2021-02-19,"110,356",0.27
688505.SH,688505,2021-02-19,"240,687",0.24
600000.SH,600000,2021-02-19,"499,556,692",1.70
600004.SH,600004,2021-02-19,"161,784,031",7.81
600006.SH,600006,2021-02-19,"25,682",0.00
600007.SH,600007,2021-02-19,"11,467,610",1.13
600008.SH,600008,2021-02-19,"102,218,096",1.39
600009.SH,600009,2021-02-19,"196,730,840",17.99
600010.SH,600010,2021-02-19,"618,987,491",1.95
600011.SH,600011,2021-02-19,"153,894,307",1.39
600012.SH,600012,2021-02-19,"15,018,529",1.28
600015.SH,600015,2021-02-19,"272,597,972",2.12
600016.SH,600016,2021-02-19,"686,735,568",1.93
600017.SH,600017,2021-02-19,"1,699,004",0.05
600018.SH,600018,2021-02-19,"159,601,972",0.68
600019.SH,600019,2021-02-19,"1,516,626,853",6.82
600020.SH,600020,2021-02-19,"20,731,732",0.92
600021.SH,600021,2021-02-19,"22,507,390",0.95
600023.SH,600023,2021-02-19,"3,939,092",0.02
600025.SH,600025,2021-02-19,"58,924,387",0.32
600026.SH,600026,2021-02-19,"38,778,919",1.41
600027.SH,600027,2021-02-19,"86,904,684",1.06
600028.SH,600028,2021-02-19,"1,161,759,438",1.21
600029.SH,600029,2021-02-19,"647,118,306",7.97
600030.SH,600030,2021-02-19,"319,463,863",3.25
600031.SH,600031,2021-02-19,"796,625,009",9.39
600033.SH,600033,2021-02-19,"819,291",0.02
600036.SH,600036,2021-02-19,"1,169,577,066",5.66
600037.SH,600037,2021-02-19,"453,975",0.03
600038.SH,600038,2021-02-19,"13,149,512",2.23
600039.SH,600039,2021-02-19,"46,997,957",1.30
600048.SH,600048,2021-02-19,"521,028,047",4.35
600050.SH,600050,2021-02-19,"78,655,100",0.25
600053.SH,600053,2021-02-19,"6,540,090",1.50
600054.SH,600054,2021-02-19,"1,143,780",0.22
600056.SH,600056,2021-02-19,"13,088,769",1.22
600057.SH,600057,2021-02-19,"32,529,229",1.52
600058.SH,600058,2021-02-19,"118,659",0.01
600059.SH,600059,2021-02-19,"217,608",0.02
600060.SH,600060,2021-02-19,"8,193,037",0.62
600061.SH,600061,2021-02-19,"47,007,212",1.11
600062.SH,600062,2021-02-19,"33,659,314",3.22
600063.SH,600063,2021-02-19,"1,550,641",0.08
600064.SH,600064,2021-02-19,"1,159,414",0.09
600066.SH,600066,2021-02-19,"174,523,792",7.88
600067.SH,600067,2021-02-19,"973,373",0.06
600068.SH,600068,2021-02-19,"94,943,557",2.06
600070.SH,600070,2021-02-19,"7,575,018",1.45
600072.SH,600072,2021-02-19,"2,656,460",0.36
