symbol,code,date,shareholding,shareholding_percent,close
688002.SH,688002,2021-02-25,"2,033,878",0.88,98.180
688006.SH,688006,2021-02-25,"497,008",0.45,68.760
688008.SH,688008,2021-02-25,"5,644,449",1.33,78.800
688009.SH,688009,2021-02-25,"10,649,930",0.52,5.910
688012.SH,688012,2021-02-25,"467,781",0.18,130.580
688019.SH,688019,2021-02-25,"91,247",0.30,291.900
688122.SH,688122,2021-02-25,"2,346,812",0.75,61.770
688139.SH,688139,2021-02-25,"1,079,865",0.58,77.760
688180.SH,688180,2021-02-25,"2,177,463",2.93,102.290
688185.SH,688185,2021-02-25,"196,639",0.80,495.060
688366.SH,688366,2021-02-25,"69,615",0.17,131.400
688505.SH,688505,2021-02-25,"243,108",0.24,15.740
600000.SH,600000,2021-02-25,"504,539,715",1.71,10.800
600004.SH,600004,2021-02-25,"181,907,983",8.79,13.650
600006.SH,600006,2021-02-25,"25,682",0.00,7.060
600007.SH,600007,2021-02-25,"11,460,763",1.13,12.290
600008.SH,600008,2021-02-25,"108,953,629",1.48,2.930
600009.SH,600009,2021-02-25,"188,534,087",17.24,63.040
600010.SH,600010,2021-02-25,"673,673,641",2.12,1.500
600011.SH,600011,2021-02-25,"148,474,313",1.35,4.160
600012.SH,600012,2021-02-25,"16,571,407",1.42,6.240
600015.SH,600015,2021-02-25,"270,379,905",2.10,6.350
600016.SH,600016,2021-02-25,"691,028,095",1.94,5.250
600017.SH,600017,2021-02-25,"1,697,004",0.05,2.770
600018.SH,600018,2021-02-25,"181,064,433",0.78,4.850
600019.SH,600019,2021-02-25,"1,561,489,175",7.02,7.750
600020.SH,600020,2021-02-25,"22,312,824",0.99,3.290
600021.SH,600021,2021-02-25,"21,631,103",0.92,6.860
600023.SH,600023,2021-02-25,"3,939,092",0.02,3.540
600025.SH,600025,2021-02-25,"50,142,876",0.27,4.520
600026.SH,600026,2021-02-25,"38,164,455",1.39,6.520
600027.SH,600027,2021-02-25,"86,542,387",1.06,3.230
600028.SH,600028,2021-02-25,"1,162,525,286",1.21,4.660
600029.SH,600029,2021-02-25,"671,860,862",8.28,6.190
600030.SH,600030,2021-02-25,"323,037,435",3.29,27.730
600031.SH,600031,2021-02-25,"802,990,632",9.47,43.150
600033.SH,600033,2021-02-25,"819,091",0.02,2.630
600036.SH,600036,2021-02-25,"1,182,288,546",5.73,54.450
600037.SH,600037,2021-02-25,"453,975",0.03,8.420
600038.SH,600038,2021-02-25,"12,452,730",2.11,55.370
600039.SH,600039,2021-02-25,"46,365,792",1.28,5.380
600048.SH,600048,2021-02-25,"528,238,831",4.41,16.070
600050.SH,600050,2021-02-25,"78,220,798",0.25,4.410
600053.SH,600053,2021-02-25,"7,083,095",1.63,17.570
600054.SH,600054,2021-02-25,"1,142,780",0.22,10.540
600056.SH,600056,2021-02-25,"13,087,498",1.22,13.760
600057.SH,600057,2021-02-25,"36,736,567",1.71,6.080
600058.SH,600058,2021-02-25,"118,659",0.01,7.760
600059.SH,600059,2021-02-25,"217,608",0.02,11.660
600060.SH,600060,2021-02-25,"8,193,037",0.62,13.060
600061.SH,600061,2021-02-25,"48,461,570",1.14,12.640
600062.SH,600062,2021-02-25,"35,271,207",3.38,11.630
600063.SH,600063,2021-02-25,"1,550,641",0.08,4.360
600064.SH,600064,2021-02-25,"1,159,414",0.09,10.210
600066.SH,600066,2021-02-25,"168,039,007",7.59,15.230
600067.SH,600067,2021-02-25,"973,373",0.06,3.620
600068.SH,600068,2021-02-25,"99,188,722",2.15,6.920
600070.SH,600070,2021-02-25,"8,115,912",1.55,7.080
600072.SH,600072,2021-02-25,"2,931,139",0.39,11.510
600073.SH,600073,2021-02-25,"6,257,357",0.66,8.700
600075.SH,600075,2021-02-25,"33,911",0.00,7.220
600077.SH,600077,2021-02-25,249,0.00,2.730
600078.SH,600078,2021-02-25,"6,215",0.00,3.770
600079.SH,600079,2021-02-25,"26,922,608",1.98,29.190
600081.SH,600081,2021-02-25,"260,608",0.08,11.900
600085.SH,600085,2021-02-25,"6,659,757",0.48,26.880
600086.SH,600086,2021-02-25,"1,827",0.00,0.200
600088.SH,600088,2021-02-25,"189,696",0.04,10.060
600089.SH,600089,2021-02-25,"56,335,452",1.51,12.180
600093.SH,600093,2021-02-25,"8,028,988",0.71,8.060
600094.SH,600094,2021-02-25,"52,835,717",2.32,4.030
600096.SH,600096,2021-02-25,"203,687",0.01,8.990
600098.SH,600098,2021-02-25,"1,031,363",0.03,5.710
600100.SH,600100,2021-02-25,"2,273,965",0.07,5.800
600101.SH,600101,2021-02-25,"30,597",0.00,5.230
600104.SH,600104,2021-02-25,"494,651,543",4.23,21.650
600105.SH,600105,2021-02-25,"1,736,130",0.12,3.140
600106.SH,600106,2021-02-25,"1,843,320",0.13,2.600
600108.SH,600108,2021-02-25,"264,248",0.01,2.790
600109.SH,600109,2021-02-25,"92,938,858",3.07,13.010
600110.SH,600110,2021-02-25,"1,500",0.00,8.760
600111.SH,600111,2021-02-25,"93,740,692",2.58,20.000
600112.SH,600112,2021-02-25,"192,779",0.03,1.180
600113.SH,600113,2021-02-25,167,0.00,6.090
600114.SH,600114,2021-02-25,"96,717",0.01,8.600
600115.SH,600115,2021-02-25,"148,530,632",1.51,4.870
600116.SH,600116,2021-02-25,"695,304",0.07,9.020
600118.SH,600118,2021-02-25,"6,325,205",0.53,33.120
600119.SH,600119,2021-02-25,"130,051",0.04,7.200
600120.SH,600120,2021-02-25,"14,013,760",0.62,5.690
600122.SH,600122,2021-02-25,"1,942,303",0.16,1.130
600123.SH,600123,2021-02-25,"483,639",0.04,5.230
600125.SH,600125,2021-02-25,"35,985,142",2.75,5.200
600131.SH,600131,2021-02-25,"6,379,253",1.18,14.160
600132.SH,600132,2021-02-25,"31,715,309",6.55,128.620
600135.SH,600135,2021-02-25,"222,166",0.05,5.820
600136.SH,600136,2021-02-25,"1,077,373",0.22,6.080
600138.SH,600138,2021-02-25,"19,210,086",2.65,11.520
600141.SH,600141,2021-02-25,"11,443,442",1.33,13.400
600143.SH,600143,2021-02-25,"91,630,177",3.56,26.320
600150.SH,600150,2021-02-25,"10,050,048",0.61,15.810
600153.SH,600153,2021-02-25,"99,226,022",3.49,8.500
600155.SH,600155,2021-02-25,"6,681,114",0.38,11.420
600157.SH,600157,2021-02-25,"2,574,742",0.01,1.380
600158.SH,600158,2021-02-25,"193,381",0.02,11.570
600160.SH,600160,2021-02-25,"82,235,693",3.04,9.250
600161.SH,600161,2021-02-25,"20,630,646",1.64,36.010
600162.SH,600162,2021-02-25,"13,719,507",0.40,1.950
600166.SH,600166,2021-02-25,"2,978,401",0.04,3.640
600167.SH,600167,2021-02-25,"20,653,289",0.90,10.180
600168.SH,600168,2021-02-25,"94,720",0.01,6.510
600169.SH,600169,2021-02-25,"2,616,502",0.10,2.270
600170.SH,600170,2021-02-25,"181,412,085",2.03,2.980
600171.SH,600171,2021-02-25,"5,178,747",0.74,14.750
600172.SH,600172,2021-02-25,"1,187,929",0.09,2.820
600173.SH,600173,2021-02-25,"689,582",0.09,4.520
600176.SH,600176,2021-02-25,"268,642,918",7.67,23.000
600177.SH,600177,2021-02-25,"80,252,107",1.73,8.130
600179.SH,600179,2021-02-25,"327,041",0.00,3.880
600180.SH,600180,2021-02-25,"34,302,265",3.37,5.250
600183.SH,600183,2021-02-25,"105,222,675",4.59,24.140
600185.SH,600185,2021-02-25,"95,514,774",4.63,6.810
600188.SH,600188,2021-02-25,"70,929,230",2.39,9.840
600190.SH,600190,2021-02-25,"268,304",0.01,2.880
600195.SH,600195,2021-02-25,"210,694",0.02,13.930
600196.SH,600196,2021-02-25,"34,162,470",1.69,45.800
600197.SH,600197,2021-02-25,"619,960",0.13,20.140
600200.SH,600200,2021-02-25,"2,962,457",0.41,4.930
600201.SH,600201,2021-02-25,"211,474,973",18.88,22.000
600206.SH,600206,2021-02-25,"9,419,987",1.11,12.260
600208.SH,600208,2021-02-25,"117,609,438",1.36,3.230
600210.SH,600210,2021-02-25,"47,925,933",3.15,5.100
600211.SH,600211,2021-02-25,"1,250,491",0.50,52.120
600216.SH,600216,2021-02-25,"17,648,352",1.82,15.420
600219.SH,600219,2021-02-25,"351,718,509",2.94,4.580
600221.SH,600221,2021-02-25,"37,276,257",0.22,1.480
600223.SH,600223,2021-02-25,"2,797,855",0.27,13.550
600226.SH,600226,2021-02-25,"527,052",0.02,1.960
600230.SH,600230,2021-02-25,"8,012",0.00,13.980
600231.SH,600231,2021-02-25,"619,386",0.02,2.390
600233.SH,600233,2021-02-25,"54,798,851",1.73,11.790
600236.SH,600236,2021-02-25,"25,271,721",0.32,4.620
600238.SH,600238,2021-02-25,400,0.00,7.940
600239.SH,600239,2021-02-25,"1,086,781",0.06,2.470
600248.SH,600248,2021-02-25,"2,651",0.00,3.930
600251.SH,600251,2021-02-25,"55,423",0.00,6.410
600252.SH,600252,2021-02-25,"22,819,107",0.65,2.830
600255.SH,600255,2021-02-25,"574,897",0.03,1.990
600256.SH,600256,2021-02-25,"115,469,643",1.70,2.830
600257.SH,600257,2021-02-25,"284,737",0.05,4.590
600258.SH,600258,2021-02-25,"79,740,941",8.14,25.240
600259.SH,600259,2021-02-25,"306,600",0.10,37.370
600260.SH,600260,2021-02-25,"27,316,900",2.80,9.180
600261.SH,600261,2021-02-25,"23,049,729",1.58,3.710
600266.SH,600266,2021-02-25,"1,747,185",0.07,4.900
600267.SH,600267,2021-02-25,"720,825",0.07,17.410
600268.SH,600268,2021-02-25,"20,400",0.00,5.970
600269.SH,600269,2021-02-25,"1,575,494",0.06,3.420
600271.SH,600271,2021-02-25,"9,608,545",0.51,11.450
600273.SH,600273,2021-02-25,"28,878,564",2.01,9.060
600276.SH,600276,2021-02-25,"664,923,493",12.53,101.050
600277.SH,600277,2021-02-25,"7,766,791",0.28,3.010
600278.SH,600278,2021-02-25,"7,294",0.00,8.770
600280.SH,600280,2021-02-25,"117,881",0.01,3.190
600282.SH,600282,2021-02-25,"217,390,866",4.88,3.450
600284.SH,600284,2021-02-25,"6,307,051",0.65,5.830
600285.SH,600285,2021-02-25,"12,474,196",2.19,8.520
