symbol,code,date,shareholding,shareholding_percent
688002.SH,688002,2021-02-23,"2,236,805",0.97
688006.SH,688006,2021-02-23,"927,199",0.84
688008.SH,688008,2021-02-23,"4,770,363",1.13
688009.SH,688009,2021-02-23,"8,578,952",0.42
688012.SH,688012,2021-02-23,"421,749",0.17
688019.SH,688019,2021-02-23,"73,587",0.24
688122.SH,688122,2021-02-23,"2,130,247",0.68
688139.SH,688139,2021-02-23,"952,149",0.51
688180.SH,688180,2021-02-23,"1,788,919",2.41
688185.SH,688185,2021-02-23,"214,406",0.87
688366.SH,688366,2021-02-23,"105,462",0.26
688505.SH,688505,2021-02-23,"284,232",0.28
600000.SH,600000,2021-02-23,"497,065,823",1.69
600004.SH,600004,2021-02-23,"176,943,387",8.55
600006.SH,600006,2021-02-23,"25,682",0.00
600007.SH,600007,2021-02-23,"11,407,556",1.13
600008.SH,600008,2021-02-23,"106,583,146",1.45
600009.SH,600009,2021-02-23,"189,176,946",17.30
600010.SH,600010,2021-02-23,"643,882,597",2.03
600011.SH,600011,2021-02-23,"146,111,301",1.32
600012.SH,600012,2021-02-23,"15,449,610",1.32
600015.SH,600015,2021-02-23,"263,565,125",2.05
600016.SH,600016,2021-02-23,"679,745,188",1.91
600017.SH,600017,2021-02-23,"1,697,004",0.05
600018.SH,600018,2021-02-23,"176,567,755",0.76
600019.SH,600019,2021-02-23,"1,577,436,414",7.10
600020.SH,600020,2021-02-23,"21,015,238",0.93
600021.SH,600021,2021-02-23,"21,595,523",0.92
600023.SH,600023,2021-02-23,"3,939,092",0.02
600025.SH,600025,2021-02-23,"53,254,318",0.29
600026.SH,600026,2021-02-23,"37,769,095",1.38
600027.SH,600027,2021-02-23,"87,172,298",1.07
600028.SH,600028,2021-02-23,"1,175,286,273",1.22
600029.SH,600029,2021-02-23,"658,810,206",8.12
600030.SH,600030,2021-02-23,"319,605,295",3.25
600031.SH,600031,2021-02-23,"805,631,389",9.50
600033.SH,600033,2021-02-23,"819,291",0.02
600036.SH,600036,2021-02-23,"1,181,046,675",5.72
600037.SH,600037,2021-02-23,"453,975",0.03
600038.SH,600038,2021-02-23,"12,662,361",2.14
600039.SH,600039,2021-02-23,"49,901,199",1.38
600048.SH,600048,2021-02-23,"516,308,424",4.31
600050.SH,600050,2021-02-23,"76,839,892",0.25
600053.SH,600053,2021-02-23,"6,752,515",1.55
600054.SH,600054,2021-02-23,"1,143,780",0.22
600056.SH,600056,2021-02-23,"13,150,298",1.23
600057.SH,600057,2021-02-23,"37,345,006",1.74
600058.SH,600058,2021-02-23,"118,659",0.01
600059.SH,600059,2021-02-23,"217,608",0.02
600060.SH,600060,2021-02-23,"8,193,037",0.62
600061.SH,600061,2021-02-23,"47,850,742",1.13
600062.SH,600062,2021-02-23,"34,510,320",3.30
600063.SH,600063,2021-02-23,"1,550,641",0.08
600064.SH,600064,2021-02-23,"1,159,414",0.09
600066.SH,600066,2021-02-23,"175,280,881",7.91
600067.SH,600067,2021-02-23,"973,373",0.06
600068.SH,600068,2021-02-23,"100,478,862",2.18
600070.SH,600070,2021-02-23,"7,835,214",1.50
600072.SH,600072,2021-02-23,"3,323,167",0.45
600073.SH,600073,2021-02-23,"7,839,968",0.83
600075.SH,600075,2021-02-23,"33,911",0.00
600077.SH,600077,2021-02-23,249,0.00
600078.SH,600078,2021-02-23,"6,215",0.00
600079.SH,600079,2021-02-23,"29,170,846",2.15
600081.SH,600081,2021-02-23,"260,608",0.08
600085.SH,600085,2021-02-23,"6,915,258",0.50
600086.SH,600086,2021-02-23,"1,827",0.00
600088.SH,600088,2021-02-23,"189,696",0.04
600089.SH,600089,2021-02-23,"57,274,648",1.54
600093.SH,600093,2021-02-23,"7,837,163",0.69
600094.SH,600094,2021-02-23,"52,931,191",2.32
600096.SH,600096,2021-02-23,"203,687",0.01
600098.SH,600098,2021-02-23,"1,031,363",0.03
600100.SH,600100,2021-02-23,"2,273,965",0.07
600101.SH,600101,2021-02-23,"30,597",0.00
600104.SH,600104,2021-02-23,"499,273,577",4.27
600105.SH,600105,2021-02-23,"1,736,130",0.12
600106.SH,600106,2021-02-23,"1,843,320",0.13
600108.SH,600108,2021-02-23,"264,248",0.01
600109.SH,600109,2021-02-23,"93,254,590",3.08
600110.SH,600110,2021-02-23,"1,500",0.00
600111.SH,600111,2021-02-23,"88,512,278",2.43
600112.SH,600112,2021-02-23,"192,779",0.03
600113.SH,600113,2021-02-23,167,0.00
600114.SH,600114,2021-02-23,"96,717",0.01
600115.SH,600115,2021-02-23,"154,921,471",1.57
600116.SH,600116,2021-02-23,"695,304",0.07
600118.SH,600118,2021-02-23,"6,493,689",0.54
600119.SH,600119,2021-02-23,"130,051",0.04
600120.SH,600120,2021-02-23,"12,444,500",0.55
600122.SH,600122,2021-02-23,"1,948,303",0.16
600123.SH,600123,2021-02-23,"483,639",0.04
600125.SH,600125,2021-02-23,"36,232,645",2.77
600131.SH,600131,2021-02-23,"6,554,353",1.21
600132.SH,600132,2021-02-23,"30,777,289",6.35
600135.SH,600135,2021-02-23,"222,166",0.05
600136.SH,600136,2021-02-23,"1,077,373",0.22
600138.SH,600138,2021-02-23,"20,230,589",2.79
600141.SH,600141,2021-02-23,"12,072,397",1.41
600143.SH,600143,2021-02-23,"85,665,413",3.32
600150.SH,600150,2021-02-23,"10,426,509",0.64
600153.SH,600153,2021-02-23,"98,205,755",3.46
600155.SH,600155,2021-02-23,"6,711,680",0.38
600157.SH,600157,2021-02-23,"2,574,742",0.01
600158.SH,600158,2021-02-23,"193,381",0.02
600160.SH,600160,2021-02-23,"91,957,351",3.40
600161.SH,600161,2021-02-23,"20,503,216",1.63
600162.SH,600162,2021-02-23,"13,719,507",0.40
600166.SH,600166,2021-02-23,"2,978,401",0.04
600167.SH,600167,2021-02-23,"21,092,812",0.92
600168.SH,600168,2021-02-23,"94,720",0.01
600169.SH,600169,2021-02-23,"2,616,502",0.10
600170.SH,600170,2021-02-23,"180,097,170",2.02
600171.SH,600171,2021-02-23,"6,340,540",0.90
600172.SH,600172,2021-02-23,"1,187,929",0.09
600173.SH,600173,2021-02-23,"689,582",0.09
600176.SH,600176,2021-02-23,"263,580,099",7.52
600177.SH,600177,2021-02-23,"75,701,690",1.63
600179.SH,600179,2021-02-23,"327,041",0.00
600180.SH,600180,2021-02-23,"34,124,865",3.35
600183.SH,600183,2021-02-23,"109,117,753",4.76
600185.SH,600185,2021-02-23,"100,060,132",4.85
