symbol,code,date,shareholding,shareholding_percent
688002.SH,688002,2021-02-03,"1,157,159",0.50
688006.SH,688006,2021-02-03,"150,807",0.13
688008.SH,688008,2021-02-03,"2,241,455",0.53
688009.SH,688009,2021-02-03,"992,660",0.04
688012.SH,688012,2021-02-03,"296,193",0.12
688019.SH,688019,2021-02-03,"103,033",0.34
688122.SH,688122,2021-02-03,"1,565,102",0.50
688139.SH,688139,2021-02-03,"714,179",0.38
688180.SH,688180,2021-02-03,"102,348",0.13
688185.SH,688185,2021-02-03,"81,241",0.35
688366.SH,688366,2021-02-03,"69,278",0.17
688505.SH,688505,2021-02-03,"127,678",0.13
600000.SH,600000,2021-02-03,"517,734,721",1.76
600004.SH,600004,2021-02-03,"139,121,669",6.72
600006.SH,600006,2021-02-03,"30,082",0.00
600007.SH,600007,2021-02-03,"11,149,942",1.10
600008.SH,600008,2021-02-03,"97,893,737",1.33
600009.SH,600009,2021-02-03,"238,122,169",21.77
600010.SH,600010,2021-02-03,"586,933,639",1.85
600011.SH,600011,2021-02-03,"157,930,952",1.43
600012.SH,600012,2021-02-03,"17,460,447",1.49
600015.SH,600015,2021-02-03,"274,308,774",2.13
600016.SH,600016,2021-02-03,"656,304,508",1.85
600017.SH,600017,2021-02-03,"1,699,004",0.05
600018.SH,600018,2021-02-03,"149,491,122",0.64
600019.SH,600019,2021-02-03,"1,415,631,474",6.37
600020.SH,600020,2021-02-03,"18,795,186",0.83
600021.SH,600021,2021-02-03,"22,345,355",0.95
600023.SH,600023,2021-02-03,"3,939,092",0.02
600025.SH,600025,2021-02-03,"58,783,109",0.32
600026.SH,600026,2021-02-03,"35,920,277",1.31
600027.SH,600027,2021-02-03,"81,521,543",1.00
600028.SH,600028,2021-02-03,"1,052,595,337",1.10
600029.SH,600029,2021-02-03,"639,869,440",7.88
600030.SH,600030,2021-02-03,"318,571,649",3.24
600031.SH,600031,2021-02-03,"779,567,498",9.19
600033.SH,600033,2021-02-03,"822,291",0.02
600036.SH,600036,2021-02-03,"1,174,978,429",5.69
600037.SH,600037,2021-02-03,"453,975",0.03
600038.SH,600038,2021-02-03,"13,682,227",2.32
600039.SH,600039,2021-02-03,"46,065,196",1.27
600048.SH,600048,2021-02-03,"519,513,030",4.34
600050.SH,600050,2021-02-03,"80,146,251",0.26
600053.SH,600053,2021-02-03,"6,065,937",1.39
600054.SH,600054,2021-02-03,"1,143,780",0.22
600056.SH,600056,2021-02-03,"11,636,388",1.08
600057.SH,600057,2021-02-03,"28,713,896",1.33
600058.SH,600058,2021-02-03,"118,659",0.01
600059.SH,600059,2021-02-03,"217,608",0.02
600060.SH,600060,2021-02-03,"8,194,037",0.62
600061.SH,600061,2021-02-03,"43,269,394",1.02
600062.SH,600062,2021-02-03,"32,828,231",3.14
600063.SH,600063,2021-02-03,"1,551,641",0.08
600064.SH,600064,2021-02-03,"1,159,414",0.09
600066.SH,600066,2021-02-03,"165,502,113",7.47
600067.SH,600067,2021-02-03,"973,373",0.06
600068.SH,600068,2021-02-03,"74,831,324",1.62
600070.SH,600070,2021-02-03,"3,784,409",0.72
600072.SH,600072,2021-02-03,"2,565,572",0.34
600073.SH,600073,2021-02-03,"5,972,853",0.63
600075.SH,600075,2021-02-03,"33,911",0.00
600077.SH,600077,2021-02-03,249,0.00
600078.SH,600078,2021-02-03,"6,215",0.00
600079.SH,600079,2021-02-03,"38,206,964",2.82
600081.SH,600081,2021-02-03,"260,608",0.08
600085.SH,600085,2021-02-03,"7,115,803",0.51
600086.SH,600086,2021-02-03,"1,827",0.00
600088.SH,600088,2021-02-03,"189,696",0.04
600089.SH,600089,2021-02-03,"62,486,620",1.68
600093.SH,600093,2021-02-03,"4,220,588",0.37
600094.SH,600094,2021-02-03,"51,262,514",2.25
600096.SH,600096,2021-02-03,"203,687",0.01
600098.SH,600098,2021-02-03,"1,031,363",0.03
600100.SH,600100,2021-02-03,"2,273,965",0.07
600101.SH,600101,2021-02-03,"30,597",0.00
600104.SH,600104,2021-02-03,"511,752,646",4.38
600105.SH,600105,2021-02-03,"1,736,130",0.12
600106.SH,600106,2021-02-03,"1,843,320",0.13
600108.SH,600108,2021-02-03,"268,448",0.01
600109.SH,600109,2021-02-03,"64,287,612",2.12
600110.SH,600110,2021-02-03,"1,500",0.00
600111.SH,600111,2021-02-03,"88,062,250",2.42
600112.SH,600112,2021-02-03,"192,779",0.03
600113.SH,600113,2021-02-03,167,0.00
600114.SH,600114,2021-02-03,"96,717",0.01
600115.SH,600115,2021-02-03,"135,932,253",1.38
600116.SH,600116,2021-02-03,"695,304",0.07
600118.SH,600118,2021-02-03,"6,568,964",0.55
600119.SH,600119,2021-02-03,"130,051",0.04
600120.SH,600120,2021-02-03,"10,968,678",0.49
600122.SH,600122,2021-02-03,"2,546,303",0.21
600123.SH,600123,2021-02-03,"483,639",0.04
600125.SH,600125,2021-02-03,"34,954,091",2.67
600131.SH,600131,2021-02-03,"5,320,686",0.98
600132.SH,600132,2021-02-03,"31,063,846",6.41
600135.SH,600135,2021-02-03,"222,166",0.05
600136.SH,600136,2021-02-03,"1,242,904",0.25
600138.SH,600138,2021-02-03,"19,065,593",2.63
600141.SH,600141,2021-02-03,"20,753,601",2.46
600143.SH,600143,2021-02-03,"86,857,711",3.37
600150.SH,600150,2021-02-03,"10,094,329",0.61
600153.SH,600153,2021-02-03,"92,286,346",3.25
600155.SH,600155,2021-02-03,"6,974,252",0.40
600157.SH,600157,2021-02-03,"2,654,742",0.01
600158.SH,600158,2021-02-03,"206,381",0.03
600160.SH,600160,2021-02-03,"99,392,824",3.68
600161.SH,600161,2021-02-03,"21,425,696",1.70
600162.SH,600162,2021-02-03,"13,719,846",0.40
600166.SH,600166,2021-02-03,"3,142,101",0.04
600167.SH,600167,2021-02-03,"18,780,896",0.82
600168.SH,600168,2021-02-03,"94,920",0.01
600169.SH,600169,2021-02-03,"2,616,502",0.10
600170.SH,600170,2021-02-03,"175,673,531",1.97
600171.SH,600171,2021-02-03,"4,882,511",0.69
600172.SH,600172,2021-02-03,"1,187,929",0.09
600173.SH,600173,2021-02-03,"689,582",0.09
600176.SH,600176,2021-02-03,"257,307,046",7.34
600177.SH,600177,2021-02-03,"82,376,402",1.77
600179.SH,600179,2021-02-03,"327,041",0.00
600180.SH,600180,2021-02-03,"33,281,350",3.27
600183.SH,600183,2021-02-03,"115,308,594",5.03
600185.SH,600185,2021-02-03,"87,395,743",4.24
600188.SH,600188,2021-02-03,"69,128,066",2.33
600190.SH,600190,2021-02-03,"268,304",0.01
600195.SH,600195,2021-02-03,"213,566",0.02
600196.SH,600196,2021-02-03,"35,599,754",1.77
600197.SH,600197,2021-02-03,"578,914",0.12
600200.SH,600200,2021-02-03,"2,962,457",0.41
600201.SH,600201,2021-02-03,"201,942,184",18.03
600206.SH,600206,2021-02-03,"8,260,900",0.97
600208.SH,600208,2021-02-03,"99,632,355",1.15
600210.SH,600210,2021-02-03,"41,310,102",2.72
600211.SH,600211,2021-02-03,"616,614",0.24
600216.SH,600216,2021-02-03,"8,629,822",0.89
600219.SH,600219,2021-02-03,"322,031,516",2.69
600221.SH,600221,2021-02-03,"40,721,682",0.24
600223.SH,600223,2021-02-03,"1,950,466",0.19
600226.SH,600226,2021-02-03,"528,052",0.02
600230.SH,600230,2021-02-03,"12,012",0.00
600231.SH,600231,2021-02-03,"619,386",0.02
600233.SH,600233,2021-02-03,"54,356,860",1.72
600236.SH,600236,2021-02-03,"25,360,034",0.32
600238.SH,600238,2021-02-03,400,0.00
600239.SH,600239,2021-02-03,"1,086,781",0.06
600248.SH,600248,2021-02-03,"2,651",0.00
600251.SH,600251,2021-02-03,"55,423",0.00
600252.SH,600252,2021-02-03,"19,601,069",0.56
600255.SH,600255,2021-02-03,"574,897",0.03
600256.SH,600256,2021-02-03,"106,653,105",1.57
600257.SH,600257,2021-02-03,"286,937",0.05
600258.SH,600258,2021-02-03,"76,524,275",7.81
600259.SH,600259,2021-02-03,"306,600",0.10
600260.SH,600260,2021-02-03,"21,005,327",2.15
600261.SH,600261,2021-02-03,"23,578,375",1.62
600266.SH,600266,2021-02-03,"1,747,185",0.07
600267.SH,600267,2021-02-03,"720,925",0.07
600268.SH,600268,2021-02-03,"20,400",0.00
600269.SH,600269,2021-02-03,"1,575,494",0.06
600271.SH,600271,2021-02-03,"9,822,691",0.53
600273.SH,600273,2021-02-03,"29,729,371",2.07
600276.SH,600276,2021-02-03,"671,434,212",12.65
600277.SH,600277,2021-02-03,"8,172,891",0.29
600278.SH,600278,2021-02-03,"7,294",0.00
600280.SH,600280,2021-02-03,"117,981",0.01
600282.SH,600282,2021-02-03,"164,352,902",3.69
600284.SH,600284,2021-02-03,"6,073,377",0.62
600285.SH,600285,2021-02-03,"13,100,218",2.30
600289.SH,600289,2021-02-03,"69,611",0.01
600290.SH,600290,2021-02-03,200,0.00
600291.SH,600291,2021-02-03,"531,588",0.04
600292.SH,600292,2021-02-03,"829,738",0.10
600295.SH,600295,2021-02-03,"3,557,068",0.54
600297.SH,600297,2021-02-03,"38,513,910",0.47
600298.SH,600298,2021-02-03,"91,976,114",11.16
600299.SH,600299,2021-02-03,"10,965,647",0.40
600300.SH,600300,2021-02-03,"1,067,281",0.06
600305.SH,600305,2021-02-03,"53,346,530",5.31
600307.SH,600307,2021-02-03,"1,578,608",0.02
600309.SH,600309,2021-02-03,"152,904,668",10.73
600310.SH,600310,2021-02-03,"1,625,006",0.19
600312.SH,600312,2021-02-03,"10,797,524",0.79
600315.SH,600315,2021-02-03,"15,011,394",2.23
600316.SH,600316,2021-02-03,"260,546",0.03
600318.SH,600318,2021-02-03,"13,468",0.00
600321.SH,600321,2021-02-03,"134,400",0.00
600323.SH,600323,2021-02-03,"5,418,463",0.70
600325.SH,600325,2021-02-03,"34,534,405",1.63
600326.SH,600326,2021-02-03,"9,111,362",0.99
600327.SH,600327,2021-02-03,"319,061",0.03
600329.SH,600329,2021-02-03,"17,981,499",3.17
600332.SH,600332,2021-02-03,"18,970,245",1.34
600333.SH,600333,2021-02-03,"5,800",0.00
600335.SH,600335,2021-02-03,"2,227,803",0.21
600337.SH,600337,2021-02-03,"18,096,591",1.11
600338.SH,600338,2021-02-03,"8,378,991",0.91
600340.SH,600340,2021-02-03,"123,680,968",3.17
600343.SH,600343,2021-02-03,"535,571",0.08
600345.SH,600345,2021-02-03,"49,492",0.02
600346.SH,600346,2021-02-03,"146,519,918",3.16
600348.SH,600348,2021-02-03,"49,672,832",2.06
600350.SH,600350,2021-02-03,"21,998,601",0.45
600351.SH,600351,2021-02-03,"797,372",0.10
600352.SH,600352,2021-02-03,"87,719,780",2.69
