symbol,code,date,shareholding,shareholding_percent
688002.SH,688002,2021-02-18,"1,820,467",0.79
688006.SH,688006,2021-02-18,"984,309",0.90
688008.SH,688008,2021-02-18,"4,318,017",1.02
688009.SH,688009,2021-02-18,"4,505,643",0.22
688012.SH,688012,2021-02-18,"472,308",0.19
688019.SH,688019,2021-02-18,"79,860",0.26
688122.SH,688122,2021-02-18,"1,657,728",0.53
688139.SH,688139,2021-02-18,"1,535,484",0.83
688180.SH,688180,2021-02-18,"1,428,209",1.92
688185.SH,688185,2021-02-18,"157,476",0.68
688366.SH,688366,2021-02-18,"78,240",0.19
688505.SH,688505,2021-02-18,"252,338",0.25
600000.SH,600000,2021-02-18,"502,510,915",1.71
600004.SH,600004,2021-02-18,"157,334,867",7.60
600006.SH,600006,2021-02-18,"25,682",0.00
600007.SH,600007,2021-02-18,"11,277,172",1.11
600008.SH,600008,2021-02-18,"101,341,614",1.38
600009.SH,600009,2021-02-18,"203,994,277",18.65
600010.SH,600010,2021-02-18,"612,215,694",1.93
600011.SH,600011,2021-02-18,"156,375,561",1.42
600012.SH,600012,2021-02-18,"14,800,855",1.26
600015.SH,600015,2021-02-18,"272,041,444",2.12
600016.SH,600016,2021-02-18,"687,043,821",1.93
600017.SH,600017,2021-02-18,"1,699,004",0.05
600018.SH,600018,2021-02-18,"152,848,969",0.65
600019.SH,600019,2021-02-18,"1,497,579,249",6.74
600020.SH,600020,2021-02-18,"20,190,852",0.89
600021.SH,600021,2021-02-18,"22,231,390",0.94
600023.SH,600023,2021-02-18,"3,939,092",0.02
600025.SH,600025,2021-02-18,"58,244,631",0.32
600026.SH,600026,2021-02-18,"37,601,219",1.37
600027.SH,600027,2021-02-18,"86,213,133",1.05
600028.SH,600028,2021-02-18,"1,190,996,148",1.24
600029.SH,600029,2021-02-18,"641,365,328",7.90
600030.SH,600030,2021-02-18,"320,431,052",3.26
600031.SH,600031,2021-02-18,"794,394,708",9.36
600033.SH,600033,2021-02-18,"819,291",0.02
600036.SH,600036,2021-02-18,"1,169,046,101",5.66
600037.SH,600037,2021-02-18,"453,975",0.03
600038.SH,600038,2021-02-18,"13,201,221",2.23
600039.SH,600039,2021-02-18,"44,699,284",1.23
600048.SH,600048,2021-02-18,"522,447,101",4.36
600050.SH,600050,2021-02-18,"80,899,085",0.26
600053.SH,600053,2021-02-18,"6,501,127",1.49
600054.SH,600054,2021-02-18,"1,143,780",0.22
600056.SH,600056,2021-02-18,"12,679,972",1.18
600057.SH,600057,2021-02-18,"30,929,320",1.43
600058.SH,600058,2021-02-18,"118,659",0.01
600059.SH,600059,2021-02-18,"217,608",0.02
600060.SH,600060,2021-02-18,"8,194,037",0.62
600061.SH,600061,2021-02-18,"45,650,218",1.07
600062.SH,600062,2021-02-18,"33,417,809",3.20
