symbol,code,date,shareholding,shareholding_percent,close
688002.SH,688002,2021-03-03,"2,422,315",1.05,103.150
688006.SH,688006,2021-03-03,"318,068",0.29,72.300
688008.SH,688008,2021-03-03,"8,352,672",1.98,75.360
688009.SH,688009,2021-03-03,"9,674,478",0.48,5.850
688012.SH,688012,2021-03-03,"1,056,033",0.42,127.620
688019.SH,688019,2021-03-03,"200,255",0.66,281.200
688122.SH,688122,2021-03-03,"2,890,694",0.92,60.660
688139.SH,688139,2021-03-03,"1,379,402",0.75,77.930
688180.SH,688180,2021-03-03,"2,449,514",3.30,100.000
688185.SH,688185,2021-03-03,"172,607",0.70,476.880
688366.SH,688366,2021-03-03,"165,295",0.41,110.870
688505.SH,688505,2021-03-03,"204,468",0.20,15.770
600000.SH,600000,2021-03-03,"508,215,941",1.73,10.920
600004.SH,600004,2021-03-03,"186,977,632",9.03,13.610
600006.SH,600006,2021-03-03,"25,682",0.00,7.020
600007.SH,600007,2021-03-03,"11,685,887",1.16,12.180
600008.SH,600008,2021-03-03,"106,485,306",1.45,2.960
600009.SH,600009,2021-03-03,"191,580,512",17.52,60.370
600010.SH,600010,2021-03-03,"692,281,659",2.18,1.940
600011.SH,600011,2021-03-03,"132,144,043",1.20,4.140
600012.SH,600012,2021-03-03,"17,597,090",1.50,6.310
600015.SH,600015,2021-03-03,"256,970,350",2.00,6.390
600016.SH,600016,2021-03-03,"676,430,279",1.90,5.220
600017.SH,600017,2021-03-03,"1,697,004",0.05,2.780
600018.SH,600018,2021-03-03,"178,068,954",0.76,4.770
600019.SH,600019,2021-03-03,"1,476,547,729",6.64,8.740
600020.SH,600020,2021-03-03,"22,705,016",1.01,3.260
600021.SH,600021,2021-03-03,"21,427,460",0.91,7.400
600023.SH,600023,2021-03-03,"3,938,592",0.02,3.510
600025.SH,600025,2021-03-03,"44,688,845",0.24,4.510
600026.SH,600026,2021-03-03,"37,187,479",1.35,6.350
600027.SH,600027,2021-03-03,"82,510,403",1.01,3.260
600028.SH,600028,2021-03-03,"1,143,821,914",1.19,4.460
600029.SH,600029,2021-03-03,"668,361,610",8.23,6.340
