symbol,code,date,shareholding,shareholding_percent,close
688002.SH,688002,2021-02-26,"2,056,041",0.89,99.200
688006.SH,688006,2021-02-26,"497,038",0.45,68.780
688008.SH,688008,2021-02-26,"7,602,287",1.80,74.140
688009.SH,688009,2021-02-26,"11,296,150",0.56,5.910
688012.SH,688012,2021-02-26,"637,735",0.25,124.750
688019.SH,688019,2021-02-26,"170,507",0.56,274.670
688122.SH,688122,2021-02-26,"2,619,978",0.83,59.840
688139.SH,688139,2021-02-26,"1,188,577",0.64,74.970
688180.SH,688180,2021-02-26,"2,200,344",2.96,103.900
688185.SH,688185,2021-02-26,"176,268",0.71,485.000
688366.SH,688366,2021-02-26,"71,193",0.18,112.520
688505.SH,688505,2021-02-26,"222,532",0.22,15.480
600000.SH,600000,2021-02-26,"498,152,985",1.69,10.540
600004.SH,600004,2021-02-26,"182,406,215",8.81,13.180
600006.SH,600006,2021-02-26,"25,682",0.00,6.970
600007.SH,600007,2021-02-26,"11,551,287",1.14,11.930
600008.SH,600008,2021-02-26,"106,984,489",1.45,2.930
600009.SH,600009,2021-02-26,"189,579,727",17.33,61.880
600010.SH,600010,2021-02-26,"666,776,829",2.10,1.540
600011.SH,600011,2021-02-26,"136,763,363",1.24,4.030
600012.SH,600012,2021-02-26,"16,804,967",1.44,6.140
600015.SH,600015,2021-02-26,"261,736,692",2.04,6.240
600016.SH,600016,2021-02-26,"679,432,703",1.91,5.180
600017.SH,600017,2021-02-26,"1,697,004",0.05,2.730
600018.SH,600018,2021-02-26,"184,398,605",0.79,4.770
600019.SH,600019,2021-02-26,"1,534,298,908",6.90,7.520
600020.SH,600020,2021-02-26,"22,412,150",0.99,3.260
600021.SH,600021,2021-02-26,"21,260,022",0.90,6.790
600023.SH,600023,2021-02-26,"3,938,592",0.02,3.500
600025.SH,600025,2021-02-26,"46,042,952",0.25,4.470
600026.SH,600026,2021-02-26,"36,672,627",1.34,6.330
600027.SH,600027,2021-02-26,"82,918,702",1.01,3.200
600028.SH,600028,2021-02-26,"1,140,525,275",1.19,4.510
600029.SH,600029,2021-02-26,"664,131,443",8.18,6.070
600030.SH,600030,2021-02-26,"317,498,586",3.23,27.250
600031.SH,600031,2021-02-26,"803,779,717",9.48,41.110
600033.SH,600033,2021-02-26,"819,091",0.02,2.610
600036.SH,600036,2021-02-26,"1,179,356,527",5.71,51.100
600037.SH,600037,2021-02-26,"453,875",0.03,8.320
