symbol,code,date,shareholding,shareholding_percent,close
688002.SH,688002,2021-03-02,"2,330,474",1.01,98.010
688006.SH,688006,2021-03-02,"364,304",0.33,73.050
688008.SH,688008,2021-03-02,"7,798,488",1.85,75.600
688009.SH,688009,2021-03-02,"9,939,957",0.49,5.820
688012.SH,688012,2021-03-02,"810,825",0.32,128.800
688019.SH,688019,2021-03-02,"212,085",0.70,289.000
688122.SH,688122,2021-03-02,"2,673,111",0.85,60.080
688139.SH,688139,2021-03-02,"1,325,323",0.72,74.190
688180.SH,688180,2021-03-02,"2,394,494",3.23,99.000
688185.SH,688185,2021-03-02,"156,632",0.63,471.530
688366.SH,688366,2021-03-02,"178,250",0.45,107.290
688505.SH,688505,2021-03-02,"199,760",0.20,15.580
600000.SH,600000,2021-03-02,"492,030,795",1.67,10.470
600004.SH,600004,2021-03-02,"184,531,644",8.91,13.340
600006.SH,600006,2021-03-02,"25,682",0.00,6.830
600007.SH,600007,2021-03-02,"11,621,687",1.15,12.030
600008.SH,600008,2021-03-02,"104,459,636",1.42,2.960
600009.SH,600009,2021-03-02,"191,087,601",17.47,59.710
600010.SH,600010,2021-03-02,"692,665,144",2.18,1.760
600011.SH,600011,2021-03-02,"128,679,685",1.17,4.080
600012.SH,600012,2021-03-02,"17,594,035",1.50,6.240
600015.SH,600015,2021-03-02,"255,233,489",1.99,6.210
600016.SH,600016,2021-03-02,"660,164,497",1.86,5.140
600017.SH,600017,2021-03-02,"1,697,004",0.05,2.750
600018.SH,600018,2021-03-02,"178,020,034",0.76,4.760
600019.SH,600019,2021-03-02,"1,509,174,328",6.79,7.990
600020.SH,600020,2021-03-02,"22,402,570",0.99,3.240
600021.SH,600021,2021-03-02,"21,532,964",0.91,7.460
600023.SH,600023,2021-03-02,"3,938,592",0.02,3.510
600025.SH,600025,2021-03-02,"45,600,545",0.25,4.510
600026.SH,600026,2021-03-02,"36,159,279",1.32,6.250
600027.SH,600027,2021-03-02,"82,231,803",1.00,3.240
600028.SH,600028,2021-03-02,"1,139,819,964",1.19,4.380
600029.SH,600029,2021-03-02,"663,137,219",8.17,6.140
600030.SH,600030,2021-03-02,"309,448,639",3.15,25.160
600031.SH,600031,2021-03-02,"799,066,298",9.42,43.500
600033.SH,600033,2021-03-02,"819,091",0.02,2.610
600036.SH,600036,2021-03-02,"1,189,725,637",5.76,49.550
600037.SH,600037,2021-03-02,"453,875",0.03,8.170
600038.SH,600038,2021-03-02,"11,733,388",1.99,52.780
600039.SH,600039,2021-03-02,"40,268,453",1.11,5.090
600048.SH,600048,2021-03-02,"529,084,540",4.42,16.020
600050.SH,600050,2021-03-02,"77,161,248",0.25,4.380
600053.SH,600053,2021-03-02,"6,552,690",1.51,17.200
600054.SH,600054,2021-03-02,"1,142,780",0.22,10.850
600056.SH,600056,2021-03-02,"12,146,089",1.13,13.630
600057.SH,600057,2021-03-02,"41,222,554",1.92,6.260
600058.SH,600058,2021-03-02,"118,659",0.01,8.040
600059.SH,600059,2021-03-02,"217,608",0.02,11.810
600060.SH,600060,2021-03-02,"8,086,337",0.61,13.200
