symbol,code,date,shareholding,shareholding_percent
688002.SH,688002,2021-02-10,"1,734,058",0.75
688006.SH,688006,2021-02-10,"649,344",0.59
688008.SH,688008,2021-02-10,"3,810,526",0.90
688009.SH,688009,2021-02-10,"3,415,784",0.16
688012.SH,688012,2021-02-10,"526,303",0.21
688019.SH,688019,2021-02-10,"68,678",0.22
688122.SH,688122,2021-02-10,"1,889,952",0.60
688139.SH,688139,2021-02-10,"1,370,252",0.74
688180.SH,688180,2021-02-10,"1,133,399",1.52
688185.SH,688185,2021-02-10,"150,193",0.65
688366.SH,688366,2021-02-10,"73,774",0.18
688505.SH,688505,2021-02-10,"195,439",0.19
600000.SH,600000,2021-02-10,"497,928,926",1.69
600004.SH,600004,2021-02-10,"150,175,354",7.25
600006.SH,600006,2021-02-10,"25,782",0.00
600007.SH,600007,2021-02-10,"11,183,972",1.11
600008.SH,600008,2021-02-10,"99,667,982",1.35
600009.SH,600009,2021-02-10,"229,382,049",20.97
600010.SH,600010,2021-02-10,"582,529,530",1.83
600011.SH,600011,2021-02-10,"152,289,255",1.38
600012.SH,600012,2021-02-10,"14,948,907",1.28
600015.SH,600015,2021-02-10,"266,043,923",2.07
600016.SH,600016,2021-02-10,"673,420,092",1.89
600017.SH,600017,2021-02-10,"1,699,004",0.05
600018.SH,600018,2021-02-10,"151,252,968",0.65
600019.SH,600019,2021-02-10,"1,462,261,640",6.58
600020.SH,600020,2021-02-10,"19,849,836",0.88
600021.SH,600021,2021-02-10,"21,856,390",0.93
600023.SH,600023,2021-02-10,"3,939,092",0.02
600025.SH,600025,2021-02-10,"65,024,094",0.36
600026.SH,600026,2021-02-10,"36,073,965",1.31
600027.SH,600027,2021-02-10,"84,870,059",1.04
600028.SH,600028,2021-02-10,"1,058,049,808",1.10
600029.SH,600029,2021-02-10,"639,089,568",7.87
600030.SH,600030,2021-02-10,"318,916,614",3.24
600031.SH,600031,2021-02-10,"794,573,867",9.37
600033.SH,600033,2021-02-10,"822,291",0.02
600036.SH,600036,2021-02-10,"1,160,659,546",5.62
600037.SH,600037,2021-02-10,"453,975",0.03
600038.SH,600038,2021-02-10,"13,380,659",2.26
600039.SH,600039,2021-02-10,"44,620,090",1.23
600048.SH,600048,2021-02-10,"526,099,431",4.39
600050.SH,600050,2021-02-10,"81,078,432",0.26
600053.SH,600053,2021-02-10,"6,413,449",1.47
600054.SH,600054,2021-02-10,"1,143,780",0.22
600056.SH,600056,2021-02-10,"12,588,733",1.17
600057.SH,600057,2021-02-10,"30,387,769",1.40
600058.SH,600058,2021-02-10,"118,659",0.01
600059.SH,600059,2021-02-10,"217,608",0.02
600060.SH,600060,2021-02-10,"8,194,037",0.62
600061.SH,600061,2021-02-10,"45,340,767",1.07
600062.SH,600062,2021-02-10,"33,839,281",3.24
600063.SH,600063,2021-02-10,"1,551,641",0.08
600064.SH,600064,2021-02-10,"1,159,414",0.09
600066.SH,600066,2021-02-10,"172,107,853",7.77
600067.SH,600067,2021-02-10,"973,373",0.06
600068.SH,600068,2021-02-10,"85,521,069",1.85
600070.SH,600070,2021-02-10,"4,612,618",0.88
600072.SH,600072,2021-02-10,"2,618,664",0.35
600073.SH,600073,2021-02-10,"6,847,859",0.73
600075.SH,600075,2021-02-10,"33,911",0.00
600077.SH,600077,2021-02-10,249,0.00
600078.SH,600078,2021-02-10,"6,215",0.00
600079.SH,600079,2021-02-10,"34,228,749",2.52
600081.SH,600081,2021-02-10,"260,608",0.08
600085.SH,600085,2021-02-10,"7,005,357",0.51
600086.SH,600086,2021-02-10,"1,827",0.00
600088.SH,600088,2021-02-10,"189,696",0.04
600089.SH,600089,2021-02-10,"68,538,225",1.84
600093.SH,600093,2021-02-10,"4,811,680",0.42
600094.SH,600094,2021-02-10,"49,082,302",2.15
600096.SH,600096,2021-02-10,"203,687",0.01
600098.SH,600098,2021-02-10,"1,031,363",0.03
600100.SH,600100,2021-02-10,"2,273,965",0.07
600101.SH,600101,2021-02-10,"30,597",0.00
600104.SH,600104,2021-02-10,"525,390,280",4.49
600105.SH,600105,2021-02-10,"1,736,130",0.12
600106.SH,600106,2021-02-10,"1,843,320",0.13
600108.SH,600108,2021-02-10,"264,248",0.01
600109.SH,600109,2021-02-10,"96,587,341",3.19
600110.SH,600110,2021-02-10,"1,500",0.00
600111.SH,600111,2021-02-10,"98,041,731",2.69
600112.SH,600112,2021-02-10,"192,779",0.03
600113.SH,600113,2021-02-10,167,0.00
600114.SH,600114,2021-02-10,"96,717",0.01
600115.SH,600115,2021-02-10,"136,277,708",1.38
600116.SH,600116,2021-02-10,"695,304",0.07
600118.SH,600118,2021-02-10,"6,343,982",0.53
600119.SH,600119,2021-02-10,"130,051",0.04
600120.SH,600120,2021-02-10,"10,966,417",0.49
600122.SH,600122,2021-02-10,"2,546,303",0.21
600123.SH,600123,2021-02-10,"483,639",0.04
600125.SH,600125,2021-02-10,"34,428,327",2.63
600131.SH,600131,2021-02-10,"5,443,867",1.00
600132.SH,600132,2021-02-10,"29,546,482",6.10
600135.SH,600135,2021-02-10,"222,166",0.05
600136.SH,600136,2021-02-10,"1,080,073",0.22
600138.SH,600138,2021-02-10,"17,349,970",2.39
600141.SH,600141,2021-02-10,"23,136,853",2.74
600143.SH,600143,2021-02-10,"99,741,626",3.87
600150.SH,600150,2021-02-10,"10,492,493",0.64
600153.SH,600153,2021-02-10,"92,357,479",3.25
600155.SH,600155,2021-02-10,"5,761,423",0.33
600157.SH,600157,2021-02-10,"2,574,742",0.01
600158.SH,600158,2021-02-10,"193,381",0.02
600160.SH,600160,2021-02-10,"104,236,010",3.86
600161.SH,600161,2021-02-10,"22,785,709",1.81
600162.SH,600162,2021-02-10,"13,719,607",0.40
600166.SH,600166,2021-02-10,"3,048,801",0.04
600167.SH,600167,2021-02-10,"18,330,597",0.80
600168.SH,600168,2021-02-10,"94,920",0.01
600169.SH,600169,2021-02-10,"2,616,502",0.10
600170.SH,600170,2021-02-10,"175,756,526",1.97
600171.SH,600171,2021-02-10,"5,602,880",0.80
600172.SH,600172,2021-02-10,"1,187,929",0.09
600173.SH,600173,2021-02-10,"689,582",0.09
600176.SH,600176,2021-02-10,"264,179,433",7.54
600177.SH,600177,2021-02-10,"79,408,064",1.71
600179.SH,600179,2021-02-10,"327,041",0.00
600180.SH,600180,2021-02-10,"33,447,751",3.29
600183.SH,600183,2021-02-10,"120,013,945",5.23
600185.SH,600185,2021-02-10,"90,103,113",4.37
600188.SH,600188,2021-02-10,"63,644,662",2.15
600190.SH,600190,2021-02-10,"268,304",0.01
600195.SH,600195,2021-02-10,"212,126",0.02
600196.SH,600196,2021-02-10,"42,416,999",2.10
600197.SH,600197,2021-02-10,"1,205,414",0.25
600200.SH,600200,2021-02-10,"2,962,457",0.41
600201.SH,600201,2021-02-10,"210,673,068",18.81
600206.SH,600206,2021-02-10,"8,851,917",1.04
600208.SH,600208,2021-02-10,"100,188,103",1.16
600210.SH,600210,2021-02-10,"43,219,378",2.84
600211.SH,600211,2021-02-10,"978,217",0.39
600216.SH,600216,2021-02-10,"10,794,751",1.11
600219.SH,600219,2021-02-10,"321,686,735",2.69
600221.SH,600221,2021-02-10,"40,436,482",0.24
