symbol,code,date,shareholding,shareholding_percent,close
688002.SH,688002,2021-02-23,"2,236,805",0.97,97.3
688006.SH,688006,2021-02-23,"927,199",0.84,66.39
688008.SH,688008,2021-02-23,"4,770,363",1.13,86.7
688009.SH,688009,2021-02-23,"8,578,952",0.42,5.86
688012.SH,688012,2021-02-23,"421,749",0.17,137.52
688019.SH,688019,2021-02-23,"73,587",0.24,293.88
688122.SH,688122,2021-02-23,"2,130,247",0.68,63.05
688139.SH,688139,2021-02-23,"952,149",0.51,78.01
688180.SH,688180,2021-02-23,"1,788,919",2.41,98.21
688185.SH,688185,2021-02-23,"214,406",0.87,461.0
688366.SH,688366,2021-02-23,"105,462",0.26,143.2
688505.SH,688505,2021-02-23,"284,232",0.28,15.85
600000.SH,600000,2021-02-23,"497,065,823",1.69,10.78
600004.SH,600004,2021-02-23,"176,943,387",8.55,13.43
600006.SH,600006,2021-02-23,"25,682",0.0,7.17
600007.SH,600007,2021-02-23,"11,407,556",1.13,11.99
600008.SH,600008,2021-02-23,"106,583,146",1.45,2.88
600009.SH,600009,2021-02-23,"189,176,946",17.3,60.09
600010.SH,600010,2021-02-23,"643,882,597",2.03,1.45
600011.SH,600011,2021-02-23,"146,111,301",1.32,4.11
600012.SH,600012,2021-02-23,"15,449,610",1.32,6.2
600015.SH,600015,2021-02-23,"263,565,125",2.05,6.33
600016.SH,600016,2021-02-23,"679,745,188",1.91,5.23
600017.SH,600017,2021-02-23,"1,697,004",0.05,2.79
600018.SH,600018,2021-02-23,"176,567,755",0.76,4.74
600019.SH,600019,2021-02-23,"1,577,436,414",7.1,7.94
600020.SH,600020,2021-02-23,"21,015,238",0.93,3.24
600021.SH,600021,2021-02-23,"21,595,523",0.92,6.88
600023.SH,600023,2021-02-23,"3,939,092",0.02,3.54
600025.SH,600025,2021-02-23,"53,254,318",0.29,4.62
600026.SH,600026,2021-02-23,"37,769,095",1.38,6.45
600027.SH,600027,2021-02-23,"87,172,298",1.07,3.21
600028.SH,600028,2021-02-23,"1,175,286,273",1.22,4.7
600029.SH,600029,2021-02-23,"658,810,206",8.12,6.51
600030.SH,600030,2021-02-23,"319,605,295",3.25,27.6
600031.SH,600031,2021-02-23,"805,631,389",9.5,44.4
600033.SH,600033,2021-02-23,"819,291",0.02,2.61
600036.SH,600036,2021-02-23,"1,181,046,675",5.72,55.55
600037.SH,600037,2021-02-23,"453,975",0.03,8.47
600038.SH,600038,2021-02-23,"12,662,361",2.14,55.13
600039.SH,600039,2021-02-23,"49,901,199",1.38,5.21
600048.SH,600048,2021-02-23,"516,308,424",4.31,14.65
600050.SH,600050,2021-02-23,"76,839,892",0.25,4.38
