symbol,code,date,shareholding,shareholding_percent
688002.SH,688002,2021-02-05,"1,936,204",0.84
688006.SH,688006,2021-02-05,"472,049",0.43
688008.SH,688008,2021-02-05,"3,110,287",0.74
688009.SH,688009,2021-02-05,"1,650,302",0.08
688012.SH,688012,2021-02-05,"428,482",0.17
688019.SH,688019,2021-02-05,"83,644",0.27
688122.SH,688122,2021-02-05,"1,946,050",0.62
688139.SH,688139,2021-02-05,"779,013",0.42
688180.SH,688180,2021-02-05,"316,606",0.42
688185.SH,688185,2021-02-05,"109,632",0.47
688366.SH,688366,2021-02-05,"21,598",0.05
688505.SH,688505,2021-02-05,"131,164",0.13
600000.SH,600000,2021-02-05,"514,473,873",1.75
600004.SH,600004,2021-02-05,"147,352,146",7.12
600006.SH,600006,2021-02-05,"30,082",0.00
600007.SH,600007,2021-02-05,"11,155,548",1.10
600008.SH,600008,2021-02-05,"99,258,897",1.35
600009.SH,600009,2021-02-05,"240,674,883",22.01
600010.SH,600010,2021-02-05,"576,192,391",1.81
600011.SH,600011,2021-02-05,"156,056,864",1.41
600012.SH,600012,2021-02-05,"16,197,190",1.38
600015.SH,600015,2021-02-05,"280,840,977",2.19
600016.SH,600016,2021-02-05,"670,463,425",1.89
600017.SH,600017,2021-02-05,"1,699,004",0.05
600018.SH,600018,2021-02-05,"151,142,800",0.65
600019.SH,600019,2021-02-05,"1,440,019,511",6.48
600020.SH,600020,2021-02-05,"19,671,367",0.87
600021.SH,600021,2021-02-05,"21,726,096",0.92
600023.SH,600023,2021-02-05,"3,939,092",0.02
600025.SH,600025,2021-02-05,"65,898,248",0.36
600026.SH,600026,2021-02-05,"36,049,740",1.31
600027.SH,600027,2021-02-05,"84,244,528",1.03
600028.SH,600028,2021-02-05,"1,041,289,941",1.08
600029.SH,600029,2021-02-05,"639,480,909",7.88
600030.SH,600030,2021-02-05,"315,020,319",3.20
600031.SH,600031,2021-02-05,"778,471,180",9.18
600033.SH,600033,2021-02-05,"822,291",0.02
600036.SH,600036,2021-02-05,"1,169,699,246",5.67
600037.SH,600037,2021-02-05,"453,975",0.03
600038.SH,600038,2021-02-05,"14,033,995",2.38
600039.SH,600039,2021-02-05,"42,465,361",1.17
600048.SH,600048,2021-02-05,"535,192,377",4.47
600050.SH,600050,2021-02-05,"81,664,616",0.26
600053.SH,600053,2021-02-05,"6,319,440",1.45
600054.SH,600054,2021-02-05,"1,143,780",0.22
600056.SH,600056,2021-02-05,"12,019,521",1.12
600057.SH,600057,2021-02-05,"29,633,202",1.37
600058.SH,600058,2021-02-05,"118,659",0.01
600059.SH,600059,2021-02-05,"217,608",0.02
600060.SH,600060,2021-02-05,"8,194,037",0.62
600061.SH,600061,2021-02-05,"44,234,257",1.04
600062.SH,600062,2021-02-05,"33,604,271",3.22
600063.SH,600063,2021-02-05,"1,551,641",0.08
600064.SH,600064,2021-02-05,"1,159,414",0.09
600066.SH,600066,2021-02-05,"169,238,471",7.64
600067.SH,600067,2021-02-05,"973,373",0.06
600068.SH,600068,2021-02-05,"77,902,955",1.69
600070.SH,600070,2021-02-05,"3,569,670",0.68
600072.SH,600072,2021-02-05,"2,532,242",0.34
600073.SH,600073,2021-02-05,"6,051,180",0.64
600075.SH,600075,2021-02-05,"33,911",0.00
600077.SH,600077,2021-02-05,249,0.00
600078.SH,600078,2021-02-05,"6,215",0.00
600079.SH,600079,2021-02-05,"37,097,388",2.74
600081.SH,600081,2021-02-05,"260,608",0.08
600085.SH,600085,2021-02-05,"7,096,603",0.51
600086.SH,600086,2021-02-05,"1,827",0.00
600088.SH,600088,2021-02-05,"189,696",0.04
600089.SH,600089,2021-02-05,"61,650,486",1.65
600093.SH,600093,2021-02-05,"4,186,488",0.37
600094.SH,600094,2021-02-05,"52,452,613",2.30
600096.SH,600096,2021-02-05,"203,687",0.01
600098.SH,600098,2021-02-05,"1,031,363",0.03
600100.SH,600100,2021-02-05,"2,273,965",0.07
600101.SH,600101,2021-02-05,"30,597",0.00
600104.SH,600104,2021-02-05,"519,093,188",4.44
600105.SH,600105,2021-02-05,"1,736,130",0.12
600106.SH,600106,2021-02-05,"1,843,320",0.13
600108.SH,600108,2021-02-05,"265,448",0.01
600109.SH,600109,2021-02-05,"64,267,919",2.12
600110.SH,600110,2021-02-05,"1,500",0.00
600111.SH,600111,2021-02-05,"89,730,667",2.46
600112.SH,600112,2021-02-05,"192,779",0.03
600113.SH,600113,2021-02-05,167,0.00
600114.SH,600114,2021-02-05,"96,717",0.01
600115.SH,600115,2021-02-05,"138,713,594",1.41
600116.SH,600116,2021-02-05,"695,304",0.07
600118.SH,600118,2021-02-05,"6,133,264",0.51
600119.SH,600119,2021-02-05,"130,051",0.04
600120.SH,600120,2021-02-05,"10,638,247",0.47
600122.SH,600122,2021-02-05,"2,546,303",0.21
600123.SH,600123,2021-02-05,"483,639",0.04
600125.SH,600125,2021-02-05,"34,745,512",2.66
600131.SH,600131,2021-02-05,"5,141,091",0.95
600132.SH,600132,2021-02-05,"30,547,643",6.31
600135.SH,600135,2021-02-05,"222,166",0.05
600136.SH,600136,2021-02-05,"1,242,904",0.25
600138.SH,600138,2021-02-05,"17,115,168",2.36
600141.SH,600141,2021-02-05,"22,109,074",2.62
600143.SH,600143,2021-02-05,"100,784,205",3.91
600150.SH,600150,2021-02-05,"9,917,961",0.60
600153.SH,600153,2021-02-05,"93,027,889",3.28
600155.SH,600155,2021-02-05,"6,880,426",0.39
600157.SH,600157,2021-02-05,"2,574,742",0.01
600158.SH,600158,2021-02-05,"206,381",0.03
600160.SH,600160,2021-02-05,"105,950,474",3.92
600161.SH,600161,2021-02-05,"23,002,930",1.83
600162.SH,600162,2021-02-05,"13,719,794",0.40
600166.SH,600166,2021-02-05,"3,136,701",0.04
600167.SH,600167,2021-02-05,"18,236,776",0.79
600168.SH,600168,2021-02-05,"94,920",0.01
600169.SH,600169,2021-02-05,"2,616,502",0.10
600170.SH,600170,2021-02-05,"174,747,502",1.96
600171.SH,600171,2021-02-05,"4,788,990",0.68
600172.SH,600172,2021-02-05,"1,187,929",0.09
600173.SH,600173,2021-02-05,"689,582",0.09
600176.SH,600176,2021-02-05,"262,880,615",7.50
600177.SH,600177,2021-02-05,"84,900,649",1.83
600179.SH,600179,2021-02-05,"327,041",0.00
600180.SH,600180,2021-02-05,"32,949,151",3.24
600183.SH,600183,2021-02-05,"123,473,049",5.38
600185.SH,600185,2021-02-05,"89,246,967",4.33
600188.SH,600188,2021-02-05,"67,123,010",2.26
600190.SH,600190,2021-02-05,"268,304",0.01
600195.SH,600195,2021-02-05,"213,566",0.02
600196.SH,600196,2021-02-05,"37,704,485",1.87
600197.SH,600197,2021-02-05,"587,024",0.12
600200.SH,600200,2021-02-05,"2,962,457",0.41
