,name,cname,symbol
75,Vanguard Growth Index Fund,成长股指数ETF-Vanguard MSCI,VUG
76,Union Pacific Corp.,联合太平洋公司,UNP
77,AstraZeneca Plc,阿斯利康公司,AZN
78,Bristol Myers Squibb Co.,百时美施贵宝公司,BMY
79,Royal Bank of Canada,加拿大皇家银行,RY
80,Royal Dutch Shell Plc,荷兰皇家壳牌石油公司,RDS.B
81,"NextEra Energy, Inc.",新纪元能源公司,NEE
82,The Boeing Co.,波音公司,BA
83,"Lowe's Cos., Inc.",劳氏公司,LOW
84,Rio Tinto Plc,力拓公司,RIO
85,"Amgen, Inc.",安进公司,AMGN
86,HDFC Bank Ltd.,HDFC银行,HDB
87,The Charles Schwab Corp.,嘉信理财公司,SCHW
88,Sanofi,赛诺菲-安万特公司,SNY
89,"BlackRock, Inc.",贝莱德集团,BLK
90,The Toronto-Dominion Bank,道明银行,TD
91,Starbucks Corp.,星巴克公司,SBUX
92,Sony Corp.,索尼,SNE
93,Raytheon Technologies Corp.,Raytheon Technologies Corp.,RTX
94,"Charter Communications, Inc.",特许通讯公司,CHTR
95,"Caterpillar, Inc.",卡特彼勒公司,CAT
96,HSBC Holdings Plc,汇丰控股公司,HSBC
97,Sea Ltd. (Singapore),新加坡海洋互联网公司,SE
98,International Business Machines Corp.,IBM(国际商业机器有限公司),IBM
99,American Express Co.,美国运通公司,AXP
100,Vanguard Total International Bond Index Fund,Vanguard国际全债市指数ETF,BNDX
101,Vanguard Small-Cap ETF,小型股指数ETF-Vanguard MSCI,VB
102,"Applied Materials, Inc.",应用材料公司,AMAT
103,"The Goldman Sachs Group, Inc.",高盛集团,GS
104,Total SE,道达尔公司,TOT
105,Sony Group Corp.,Sony Group Corp.,SONY
106,"Intuit, Inc.",财捷集团,INTU
107,iPath Series B Bloomberg Energy Subindex Total Return ETN,iPath Series B Bloomberg Energy Subindex Total Return ETN,JJEB
108,General Electric Co.,通用电气公司,GE
109,3M Co.,明尼苏达矿业制造公司,MMM
110,American Tower Corp.,美国电塔,AMT
111,CVS Health Corp.,西维斯健康,CVS
112,"JD.com, Inc.",京东,JD
113,Diageo Plc,帝亚吉欧公司,DEO
114,Target Corp.,塔吉特公司,TGT
115,China Mobile Ltd.,中国移动通信集团公司,CHL
116,iPath Series B Bloomberg Livestock Subindex Total Return ETN,iPath Series B Bloomberg Livestock Subindex Total Return ETN,COWB
117,iPath Series B Bloomberg Tin Subindex Total Return ETN,iPath Series B Bloomberg Tin Subindex Total Return ETN,JJTB
118,Deere & Co.,迪尔股份有限公司,DE
119,iPath Series B Bloomberg Cotton Subindex Total Return ETN,iPath Series B Bloomberg Cotton Subindex Total Return ETN,BALB
120,iPath Series B Bloomberg Grains Subindex Total Return ETN,iPath Series B Bloomberg Grains Subindex Total Return ETN,JJGB
121,"The Est茅e Lauder Companies, Inc.",雅诗兰黛公司,EL
122,iPath Series B Bloomberg Agriculture Subindex Total Return ETN,iPath Series B Bloomberg Agriculture Subindex Total Return ETN,JJAB
123,iPath Series B Bloomberg Nickel Subindex Total Return ETN,iPath Series B Bloomberg Nickel Subindex Total Return ETN,BJJN
124,Lockheed Martin Corp.,洛克希德马丁公司,LMT
125,iPath Series B Bloomberg Aluminum Subindex Total Return ETN,iPath Series B Bloomberg Aluminum Subindex Total Return ETN,JJUB
126,Vale SA,淡水河谷公司,VALE
127,Vanguard Extended Market Index Fund,领航 扩展市场 ETF,VXF
128,iPath Series B Bloomberg Softs Subindex Total Return ETN,iPath Series B Bloomberg Softs Subindex Total Return ETN,JJSB
129,iPath Series B Bloomberg Precious Metals Subindex TR ETN,iPath Series B Bloomberg Precious Metals Subindex TR ETN,JJPB
130,iPath Series B Bloomberg Sugar Subindex Total Return ETN,iPath Series B Bloomberg Sugar Subindex Total Return ETN,SGGB
131,"Square, Inc.","Square, Inc.",SQ
132,iPath Series B Bloomberg Industrial Metals Subindex TR ETN,iPath Series B Bloomberg Industrial Metals Subindex TR ETN,JJMB
133,"Piedmont Lithium, Inc.",皮德蒙特锂业,PLL
134,iPath Series B Bloomberg Copper Subindex Total Return ETN,iPath Series B Bloomberg Copper Subindex Total Return ETN,JJCB
135,"Intuitive Surgical, Inc.",直觉外科公司,ISRG
136,iPath Series B Bloomberg Coffee Subindex Total Return ETN,iPath Series B Bloomberg Coffee Subindex Total Return ETN,BJO
137,GlaxoSmithKline Plc,葛兰素史克公司,GSK
138,iPath Series B Bloomberg Platinum Subindex Total Return ETN,iPath Series B Bloomberg Platinum Subindex Total Return ETN,PGMB
139,"Anthem, Inc.","Anthem, Inc.",ANTM
140,ING Groep NV,ING Groep NV,ISG
141,"Booking Holdings, Inc.",缤客,BKNG
142,"Zoom Video Communications, Inc.",Zoom视频通讯公司,ZM
143,"ServiceNow, Inc.",现在服务公司,NOW
144,"Uber Technologies, Inc.",优步科技有限公司,UBER
145,"Advanced Micro Devices, Inc.",美国超微公司,AMD
146,Stryker Corp.,史赛克公司,SYK
147,"NTT DoCoMo, Inc.",NTT道康姆公司,DCM
148,"Snap, Inc.",Snap,SNAP
149,"Reynolds American, Inc.",雷诺兹烟草,RAI
150,"Fidelity National Information Services, Inc.",繁德信息技术,FIS
151,"Micron Technology, Inc.",美光科技公司,MU
152,"Altria Group, Inc.",奥驰亚集团公司,MO
153,"S&P Global, Inc.",标普全球,SPGI
154,Lam Research Corp.,林氏研究公司,LRCX
155,British American Tobacco plc,英美烟草公司,BTI
156,"Mondelez International, Inc.",亿滋国际公司,MDLZ
157,BP Plc,英国石油公司,BP
158,Cigna Corp.,信诺,CI
159,U.S. Bancorp,美国合众银行,USB
160,Equinor ASA,挪威石油公司,STO
161,"Prologis, Inc.","Prologis, Inc.",PLD
162,iShares Core MSCI EAFE ETF,iShares 核心MSCI欧澳远东 ETF,IEFA
163,General Motors Co.,通用汽车公司,GM
164,"Zoetis, Inc.","Zoetis, Inc.",ZTS
165,"Gilead Sciences, Inc.",吉利德科学公司,GILD
166,Airbnb  Inc.,爱彼迎,ABNB
167,"Automatic Data Processing, Inc.",自动数据处理公司,ADP
168,FedEx Corp.,联邦快递集团,FDX
169,"The TJX Cos., Inc.",TJX公司,TJX
